Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,10105,,10105,,10105,Aparajita Nanda,4,African American Studies,R1A,001,A,Letter Grade,A+,Fresh Composition
4,10105,,10105,,10105,Aparajita Nanda,4,African American Studies,R1A,001,A,Letter Grade,A,Fresh Composition
7,10105,,10105,,10105,Aparajita Nanda,3.7,African American Studies,R1A,001,A,Letter Grade,A-,Fresh Composition
5,10105,,10105,,10105,Aparajita Nanda,3.3,African American Studies,R1A,001,B,Letter Grade,B+,Fresh Composition
3,10105,,10105,,10105,Aparajita Nanda,3,African American Studies,R1A,001,B,Letter Grade,B,Fresh Composition
1,10105,,10105,,10105,Aparajita Nanda,2.7,African American Studies,R1A,001,B,Letter Grade,B-,Fresh Composition
2,10115,,10115,,10115,Luisa Giulianetti; Ula Taylor,4,African American Studies,R1AN,001,A,Letter Grade,A,R & C Sum Bdg
8,10115,,10115,,10115,Luisa Giulianetti; Ula Taylor,3.7,African American Studies,R1AN,001,A,Letter Grade,A-,R & C Sum Bdg
2,10115,,10115,,10115,Luisa Giulianetti; Ula Taylor,3.3,African American Studies,R1AN,001,B,Letter Grade,B+,R & C Sum Bdg
3,10115,,10115,,10115,Luisa Giulianetti; Ula Taylor,3,African American Studies,R1AN,001,B,Letter Grade,B,R & C Sum Bdg
2,10115,,10115,,10115,Luisa Giulianetti; Ula Taylor,2.7,African American Studies,R1AN,001,B,Letter Grade,B-,R & C Sum Bdg
1,10115,,10115,,10115,Luisa Giulianetti; Ula Taylor,0.7,African American Studies,R1AN,001,D,Letter Grade,D-,R & C Sum Bdg
4,10120,,10120,,10120,Aparajita Nanda,4,African American Studies,R1B,001,A,Letter Grade,A,Freshmn Composition
3,10120,,10120,,10120,Aparajita Nanda,3.7,African American Studies,R1B,001,A,Letter Grade,A-,Freshmn Composition
4,10120,,10120,,10120,Aparajita Nanda,3.3,African American Studies,R1B,001,B,Letter Grade,B+,Freshmn Composition
4,10120,,10120,,10120,Aparajita Nanda,3,African American Studies,R1B,001,B,Letter Grade,B,Freshmn Composition
3,10120,,10120,,10120,Aparajita Nanda,2.7,African American Studies,R1B,001,B,Letter Grade,B-,Freshmn Composition
3,10120,,10120,,10120,Aparajita Nanda,2.3,African American Studies,R1B,001,C,Letter Grade,C+,Freshmn Composition
