Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,57203,,57203,,57203,Alexander Simpson; Mack-Jan Spencer,4,Aerospace Studies,1A,001,A,Letter Grade,A+,Found Us Air Force
10,57203,,57203,,57203,Alexander Simpson; Mack-Jan Spencer,4,Aerospace Studies,1A,001,A,Letter Grade,A,Found Us Air Force
2,57203,,57203,,57203,Alexander Simpson; Mack-Jan Spencer,3.7,Aerospace Studies,1A,001,A,Letter Grade,A-,Found Us Air Force
3,57203,,57203,,57203,Alexander Simpson; Mack-Jan Spencer,3.3,Aerospace Studies,1A,001,B,Letter Grade,B+,Found Us Air Force
2,57203,,57203,,57203,Alexander Simpson; Mack-Jan Spencer,3,Aerospace Studies,1A,001,B,Letter Grade,B,Found Us Air Force
2,57203,,57203,,57203,Alexander Simpson; Mack-Jan Spencer,0,Aerospace Studies,1A,001,F,Letter Grade,F,Found Us Air Force
1,57206,,57206,,57206,Alexander Simpson; Mack-Jan Spencer,4,Aerospace Studies,2A,001,A,Letter Grade,A+,Evolut Of Air Power
4,57206,,57206,,57206,Alexander Simpson; Mack-Jan Spencer,4,Aerospace Studies,2A,001,A,Letter Grade,A,Evolut Of Air Power
1,57206,,57206,,57206,Alexander Simpson; Mack-Jan Spencer,3.7,Aerospace Studies,2A,001,A,Letter Grade,A-,Evolut Of Air Power
6,57206,,57206,,57206,Alexander Simpson; Mack-Jan Spencer,3.3,Aerospace Studies,2A,001,B,Letter Grade,B+,Evolut Of Air Power
2,57206,,57206,,57206,Alexander Simpson; Mack-Jan Spencer,3,Aerospace Studies,2A,001,B,Letter Grade,B,Evolut Of Air Power
2,57206,,57206,,57206,Alexander Simpson; Mack-Jan Spencer,2.3,Aerospace Studies,2A,001,C,Letter Grade,C+,Evolut Of Air Power
1,57206,,57206,,57206,Alexander Simpson; Mack-Jan Spencer,2,Aerospace Studies,2A,001,C,Letter Grade,C,Evolut Of Air Power
1,57206,,57206,,57206,Alexander Simpson; Mack-Jan Spencer,0,Aerospace Studies,2A,001,F,Letter Grade,F,Evolut Of Air Power
34,57209,,57209,,57209,Alexander Simpson; Mariko Boone,,Aerospace Studies,100,001,Credit,Non-Letter Grade,Pass,Leadership Lab
2,57212,,57212,,57212,Alexander Simpson; Mariko Boone,4,Aerospace Studies,135A,001,A,Letter Grade,A+,Air Force Studies
2,57212,,57212,,57212,Alexander Simpson; Mariko Boone,4,Aerospace Studies,135A,001,A,Letter Grade,A,Air Force Studies
8,57212,,57212,,57212,Alexander Simpson; Mariko Boone,3.7,Aerospace Studies,135A,001,A,Letter Grade,A-,Air Force Studies
1,57212,,57212,,57212,Alexander Simpson; Mariko Boone,3.3,Aerospace Studies,135A,001,B,Letter Grade,B+,Air Force Studies
2,00503,,00503,,00503,Ivy Mills,4,African American Studies,R1A,002,A,Letter Grade,A,Fresh Composition
1,00503,,00503,,00503,Ivy Mills,3.7,African American Studies,R1A,002,A,Letter Grade,A-,Fresh Composition
3,00503,,00503,,00503,Ivy Mills,3.3,African American Studies,R1A,002,B,Letter Grade,B+,Fresh Composition
3,00503,,00503,,00503,Ivy Mills,3,African American Studies,R1A,002,B,Letter Grade,B,Fresh Composition
3,00503,,00503,,00503,Ivy Mills,2.7,African American Studies,R1A,002,B,Letter Grade,B-,Fresh Composition
2,00503,,00503,,00503,Ivy Mills,1.7,African American Studies,R1A,002,C,Letter Grade,C-,Fresh Composition
1,00503,,00503,,00503,Ivy Mills,0,African American Studies,R1A,002,F,Letter Grade,F,Fresh Composition
1,00509,,00509,,00509,Aparajita Nanda,4,African American Studies,R1B,001,A,Letter Grade,A+,Freshmn Composition
3,00509,,00509,,00509,Aparajita Nanda,4,African American Studies,R1B,001,A,Letter Grade,A,Freshmn Composition
4,00509,,00509,,00509,Aparajita Nanda,3.7,African American Studies,R1B,001,A,Letter Grade,A-,Freshmn Composition
5,00509,,00509,,00509,Aparajita Nanda,3.3,African American Studies,R1B,001,B,Letter Grade,B+,Freshmn Composition
3,00509,,00509,,00509,Aparajita Nanda,3,African American Studies,R1B,001,B,Letter Grade,B,Freshmn Composition
1,00509,,00509,,00509,Aparajita Nanda,1.3,African American Studies,R1B,001,D,Letter Grade,D+,Freshmn Composition
1,00509,,00509,,00509,Aparajita Nanda,,African American Studies,R1B,001,No Credit,Non-Letter Grade,Not Pass,Freshmn Composition
7,00515,,00515,,00515,Jessyka Finley,4,African American Studies,R1B,002,A,Letter Grade,A,Freshmn Composition
7,00515,,00515,,00515,Jessyka Finley,3.7,African American Studies,R1B,002,A,Letter Grade,A-,Freshmn Composition
5,00515,,00515,,00515,Jessyka Finley,3.3,African American Studies,R1B,002,B,Letter Grade,B+,Freshmn Composition
2,00515,,00515,,00515,Jessyka Finley,3,African American Studies,R1B,002,B,Letter Grade,B,Freshmn Composition
2,00515,,00515,,00515,Jessyka Finley,2.7,African American Studies,R1B,002,B,Letter Grade,B-,Freshmn Composition
1,00515,,00515,,00515,Jessyka Finley,2,African American Studies,R1B,002,C,Letter Grade,C,Freshmn Composition
9,00520,,00520,,00520,Michael Mcgee; Nailah Suad-Bakari,4,African American Studies,R1B,003,A,Letter Grade,A,Freshmn Composition
3,00520,,00520,,00520,Michael Mcgee; Nailah Suad-Bakari,3.7,African American Studies,R1B,003,A,Letter Grade,A-,Freshmn Composition
2,00520,,00520,,00520,Michael Mcgee; Nailah Suad-Bakari,3.3,African American Studies,R1B,003,B,Letter Grade,B+,Freshmn Composition
3,00520,,00520,,00520,Michael Mcgee; Nailah Suad-Bakari,3,African American Studies,R1B,003,B,Letter Grade,B,Freshmn Composition
1,00520,,00520,,00520,Michael Mcgee; Nailah Suad-Bakari,2.7,African American Studies,R1B,003,B,Letter Grade,B-,Freshmn Composition
1,00521,,00521,,00521,G. Ugo Nwokeji,4,African American Studies,4A,001,A,Letter Grade,A+,Africa:  Hist & Cul
7,00521,,00521,,00521,G. Ugo Nwokeji,4,African American Studies,4A,001,A,Letter Grade,A,Africa:  Hist & Cul
15,00521,,00521,,00521,G. Ugo Nwokeji,3.7,African American Studies,4A,001,A,Letter Grade,A-,Africa:  Hist & Cul
11,00521,,00521,,00521,G. Ugo Nwokeji,3.3,African American Studies,4A,001,B,Letter Grade,B+,Africa:  Hist & Cul
9,00521,,00521,,00521,G. Ugo Nwokeji,3,African American Studies,4A,001,B,Letter Grade,B,Africa:  Hist & Cul
8,00521,,00521,,00521,G. Ugo Nwokeji,2.7,African American Studies,4A,001,B,Letter Grade,B-,Africa:  Hist & Cul
2,00521,,00521,,00521,G. Ugo Nwokeji,2.3,African American Studies,4A,001,C,Letter Grade,C+,Africa:  Hist & Cul
3,00521,,00521,,00521,G. Ugo Nwokeji,2,African American Studies,4A,001,C,Letter Grade,C,Africa:  Hist & Cul
2,00521,,00521,,00521,G. Ugo Nwokeji,1.7,African American Studies,4A,001,C,Letter Grade,C-,Africa:  Hist & Cul
1,00521,,00521,,00521,G. Ugo Nwokeji,1.3,African American Studies,4A,001,D,Letter Grade,D+,Africa:  Hist & Cul
1,00521,,00521,,00521,G. Ugo Nwokeji,0.7,African American Studies,4A,001,D,Letter Grade,D-,Africa:  Hist & Cul
7,00521,,00521,,00521,G. Ugo Nwokeji,,African American Studies,4A,001,Credit,Non-Letter Grade,Pass,Africa:  Hist & Cul
