Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
2,57303,,57303,,57303,Mack-Jan Spencer; Mariko Boone,4,Aerospace Studies,1A,001,A,Letter Grade,A+,Found Us Air Force
4,57303,,57303,,57303,Mack-Jan Spencer; Mariko Boone,4,Aerospace Studies,1A,001,A,Letter Grade,A,Found Us Air Force
5,57303,,57303,,57303,Mack-Jan Spencer; Mariko Boone,3.7,Aerospace Studies,1A,001,A,Letter Grade,A-,Found Us Air Force
6,57303,,57303,,57303,Mack-Jan Spencer; Mariko Boone,3.3,Aerospace Studies,1A,001,B,Letter Grade,B+,Found Us Air Force
2,57303,,57303,,57303,Mack-Jan Spencer; Mariko Boone,3,Aerospace Studies,1A,001,B,Letter Grade,B,Found Us Air Force
3,57303,,57303,,57303,Mack-Jan Spencer; Mariko Boone,2.7,Aerospace Studies,1A,001,B,Letter Grade,B-,Found Us Air Force
1,57303,,57303,,57303,Mack-Jan Spencer; Mariko Boone,2.3,Aerospace Studies,1A,001,C,Letter Grade,C+,Found Us Air Force
1,57303,,57303,,57303,Mack-Jan Spencer; Mariko Boone,2,Aerospace Studies,1A,001,C,Letter Grade,C,Found Us Air Force
12,57303,,57303,,57303,Mack-Jan Spencer; Mariko Boone,0,Aerospace Studies,1A,001,F,Letter Grade,F,Found Us Air Force
4,57306,,57306,,57306,Harold Eggers; Mack-Jan Spencer,4,Aerospace Studies,2A,001,A,Letter Grade,A+,Evolut Of Air Power
5,57306,,57306,,57306,Harold Eggers; Mack-Jan Spencer,4,Aerospace Studies,2A,001,A,Letter Grade,A,Evolut Of Air Power
2,57306,,57306,,57306,Harold Eggers; Mack-Jan Spencer,3.7,Aerospace Studies,2A,001,A,Letter Grade,A-,Evolut Of Air Power
1,57306,,57306,,57306,Harold Eggers; Mack-Jan Spencer,3.3,Aerospace Studies,2A,001,B,Letter Grade,B+,Evolut Of Air Power
1,57306,,57306,,57306,Harold Eggers; Mack-Jan Spencer,3,Aerospace Studies,2A,001,B,Letter Grade,B,Evolut Of Air Power
1,57306,,57306,,57306,Harold Eggers; Mack-Jan Spencer,2.7,Aerospace Studies,2A,001,B,Letter Grade,B-,Evolut Of Air Power
2,57306,,57306,,57306,Harold Eggers; Mack-Jan Spencer,2.3,Aerospace Studies,2A,001,C,Letter Grade,C+,Evolut Of Air Power
1,57306,,57306,,57306,Harold Eggers; Mack-Jan Spencer,2,Aerospace Studies,2A,001,C,Letter Grade,C,Evolut Of Air Power
5,57306,,57306,,57306,Harold Eggers; Mack-Jan Spencer,0,Aerospace Studies,2A,001,F,Letter Grade,F,Evolut Of Air Power
47,57309,,57309,,57309,Mack-Jan Spencer; Mariko Boone,,Aerospace Studies,100,001,Credit,Non-Letter Grade,Pass,Leadership Lab
12,57309,,57309,,57309,Mack-Jan Spencer; Mariko Boone,,Aerospace Studies,100,001,No Credit,Non-Letter Grade,Not Pass,Leadership Lab
1,57312,,57312,,57312,Mack-Jan Spencer; Mariko Boone,4,Aerospace Studies,135A,001,A,Letter Grade,A+,Air Force Studies
3,57312,,57312,,57312,Mack-Jan Spencer; Mariko Boone,4,Aerospace Studies,135A,001,A,Letter Grade,A,Air Force Studies
2,57312,,57312,,57312,Mack-Jan Spencer; Mariko Boone,3.7,Aerospace Studies,135A,001,A,Letter Grade,A-,Air Force Studies
2,57312,,57312,,57312,Mack-Jan Spencer; Mariko Boone,3,Aerospace Studies,135A,001,B,Letter Grade,B,Air Force Studies
2,00508,,00508,,00508,Lia Bascomb; Nailah Suad-Bakari,4,African American Studies,R1A,002,A,Letter Grade,A,Fresh Composition
2,00508,,00508,,00508,Lia Bascomb; Nailah Suad-Bakari,3.7,African American Studies,R1A,002,A,Letter Grade,A-,Fresh Composition
4,00508,,00508,,00508,Lia Bascomb; Nailah Suad-Bakari,3.3,African American Studies,R1A,002,B,Letter Grade,B+,Fresh Composition
3,00508,,00508,,00508,Lia Bascomb; Nailah Suad-Bakari,3,African American Studies,R1A,002,B,Letter Grade,B,Fresh Composition
2,00508,,00508,,00508,Lia Bascomb; Nailah Suad-Bakari,2.7,African American Studies,R1A,002,B,Letter Grade,B-,Fresh Composition
1,00508,,00508,,00508,Lia Bascomb; Nailah Suad-Bakari,0,African American Studies,R1A,002,F,Letter Grade,F,Fresh Composition
5,00509,,00509,,00509,Aparajita Nanda,4,African American Studies,R1B,001,A,Letter Grade,A,Freshmn Composition
5,00509,,00509,,00509,Aparajita Nanda,3.7,African American Studies,R1B,001,A,Letter Grade,A-,Freshmn Composition
7,00509,,00509,,00509,Aparajita Nanda,3.3,African American Studies,R1B,001,B,Letter Grade,B+,Freshmn Composition
3,00509,,00509,,00509,Aparajita Nanda,3,African American Studies,R1B,001,B,Letter Grade,B,Freshmn Composition
1,00509,,00509,,00509,Aparajita Nanda,2,African American Studies,R1B,001,C,Letter Grade,C,Freshmn Composition
