Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
10,00515,,00515,,00515,G. Ugo Nwokeji,3.3,African American Studies,4B,001,B,Letter Grade,B+,Africa:  Hist & Cul
13,00515,,00515,,00515,G. Ugo Nwokeji,3,African American Studies,4B,001,B,Letter Grade,B,Africa:  Hist & Cul
10,00515,,00515,,00515,G. Ugo Nwokeji,2.7,African American Studies,4B,001,B,Letter Grade,B-,Africa:  Hist & Cul
5,00515,,00515,,00515,G. Ugo Nwokeji,2.3,African American Studies,4B,001,C,Letter Grade,C+,Africa:  Hist & Cul
6,00515,,00515,,00515,G. Ugo Nwokeji,2,African American Studies,4B,001,C,Letter Grade,C,Africa:  Hist & Cul
1,00515,,00515,,00515,G. Ugo Nwokeji,1.7,African American Studies,4B,001,C,Letter Grade,C-,Africa:  Hist & Cul
1,00515,,00515,,00515,G. Ugo Nwokeji,1.3,African American Studies,4B,001,D,Letter Grade,D+,Africa:  Hist & Cul
2,00515,,00515,,00515,G. Ugo Nwokeji,1,African American Studies,4B,001,D,Letter Grade,D,Africa:  Hist & Cul
1,00515,,00515,,00515,G. Ugo Nwokeji,0,African American Studies,4B,001,F,Letter Grade,F,Africa:  Hist & Cul
10,00515,,00515,,00515,G. Ugo Nwokeji,,African American Studies,4B,001,Credit,Non-Letter Grade,Pass,Africa:  Hist & Cul
3,00515,,00515,,00515,G. Ugo Nwokeji,,African American Studies,4B,001,No Credit,Non-Letter Grade,Not Pass,Africa:  Hist & Cul
6,00527,,00527,,00527,Robert Allen,4,African American Studies,5B,001,A,Letter Grade,A+,Afam Life & Cul U S
12,00527,,00527,,00527,Robert Allen,4,African American Studies,5B,001,A,Letter Grade,A,Afam Life & Cul U S
11,00527,,00527,,00527,Robert Allen,3.7,African American Studies,5B,001,A,Letter Grade,A-,Afam Life & Cul U S
4,00527,,00527,,00527,Robert Allen,3.3,African American Studies,5B,001,B,Letter Grade,B+,Afam Life & Cul U S
5,00527,,00527,,00527,Robert Allen,3,African American Studies,5B,001,B,Letter Grade,B,Afam Life & Cul U S
6,00527,,00527,,00527,Robert Allen,2.7,African American Studies,5B,001,B,Letter Grade,B-,Afam Life & Cul U S
2,00527,,00527,,00527,Robert Allen,2.3,African American Studies,5B,001,C,Letter Grade,C+,Afam Life & Cul U S
2,00527,,00527,,00527,Robert Allen,2,African American Studies,5B,001,C,Letter Grade,C,Afam Life & Cul U S
1,00527,,00527,,00527,Robert Allen,1.7,African American Studies,5B,001,C,Letter Grade,C-,Afam Life & Cul U S
4,00527,,00527,,00527,Robert Allen,1,African American Studies,5B,001,D,Letter Grade,D,Afam Life & Cul U S
1,00527,,00527,,00527,Robert Allen,0.7,African American Studies,5B,001,D,Letter Grade,D-,Afam Life & Cul U S
1,00527,,00527,,00527,Robert Allen,0,African American Studies,5B,001,F,Letter Grade,F,Afam Life & Cul U S
8,00527,,00527,,00527,Robert Allen,,African American Studies,5B,001,Credit,Non-Letter Grade,Pass,Afam Life & Cul U S
1,00539,,00539,,00539,Alassane Sow,4,African American Studies,7B,001,A,Letter Grade,A,Elementary Wolof
1,00542,,00542,,00542,Alassane Sow,4,African American Studies,8B,001,A,Letter Grade,A,Intermediate Wolof
3,00545,,00545,,00545,Joseph Omwamba,4,African American Studies,10B,001,A,Letter Grade,A,Intermed Swahili
