Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
8,57303,,57303,,57303,Charles Rice,4,Aerospace Studies,1A,001,A,Letter Grade,A+,Found Us Air Force
7,57303,,57303,,57303,Charles Rice,4,Aerospace Studies,1A,001,A,Letter Grade,A,Found Us Air Force
5,57303,,57303,,57303,Charles Rice,3.7,Aerospace Studies,1A,001,A,Letter Grade,A-,Found Us Air Force
3,57303,,57303,,57303,Charles Rice,3.3,Aerospace Studies,1A,001,B,Letter Grade,B+,Found Us Air Force
1,57303,,57303,,57303,Charles Rice,3,Aerospace Studies,1A,001,B,Letter Grade,B,Found Us Air Force
2,57303,,57303,,57303,Charles Rice,2.7,Aerospace Studies,1A,001,B,Letter Grade,B-,Found Us Air Force
2,57303,,57303,,57303,Charles Rice,0,Aerospace Studies,1A,001,F,Letter Grade,F,Found Us Air Force
7,57306,,57306,,57306,Charles Rice,4,Aerospace Studies,2A,001,A,Letter Grade,A+,Evolut Of Air Power
6,57306,,57306,,57306,Charles Rice,4,Aerospace Studies,2A,001,A,Letter Grade,A,Evolut Of Air Power
7,57306,,57306,,57306,Charles Rice,3.7,Aerospace Studies,2A,001,A,Letter Grade,A-,Evolut Of Air Power
1,57306,,57306,,57306,Charles Rice,3,Aerospace Studies,2A,001,B,Letter Grade,B,Evolut Of Air Power
1,57306,,57306,,57306,Charles Rice,2.7,Aerospace Studies,2A,001,B,Letter Grade,B-,Evolut Of Air Power
2,57306,,57306,,57306,Charles Rice,,Aerospace Studies,2A,001,Credit,Non-Letter Grade,Pass,Evolut Of Air Power
39,57309,,57309,,57309,Amber Henson,,Aerospace Studies,100,001,Credit,Non-Letter Grade,Pass,Leadership Lab
1,57312,,57312,,57312,Amber Henson,4,Aerospace Studies,135A,001,A,Letter Grade,A+,Air Force Studies
2,57312,,57312,,57312,Amber Henson,4,Aerospace Studies,135A,001,A,Letter Grade,A,Air Force Studies
1,57312,,57312,,57312,Amber Henson,2.7,Aerospace Studies,135A,001,B,Letter Grade,B-,Air Force Studies
1,00503,,00503,,00503,Ariane Cruz; Charles Henry,4,African American Studies,R1A,001,A,Letter Grade,A+,Fresh Composition
10,00503,,00503,,00503,Ariane Cruz; Charles Henry,4,African American Studies,R1A,001,A,Letter Grade,A,Fresh Composition
8,00503,,00503,,00503,Ariane Cruz; Charles Henry,3.7,African American Studies,R1A,001,A,Letter Grade,A-,Fresh Composition
11,00503,,00503,,00503,Ariane Cruz; Charles Henry,3.3,African American Studies,R1A,001,B,Letter Grade,B+,Fresh Composition
6,00503,,00503,,00503,Ariane Cruz; Charles Henry,3,African American Studies,R1A,001,B,Letter Grade,B,Fresh Composition
2,00503,,00503,,00503,Ariane Cruz; Charles Henry,2.7,African American Studies,R1A,001,B,Letter Grade,B-,Fresh Composition
1,00503,,00503,,00503,Ariane Cruz; Charles Henry,0,African American Studies,R1A,001,F,Letter Grade,F,Fresh Composition
5,00509,,00509,,00509,Aparajita Nanda,4,African American Studies,R1B,001,A,Letter Grade,A,Freshmn Composition
3,00509,,00509,,00509,Aparajita Nanda,3.7,African American Studies,R1B,001,A,Letter Grade,A-,Freshmn Composition
5,00509,,00509,,00509,Aparajita Nanda,3.3,African American Studies,R1B,001,B,Letter Grade,B+,Freshmn Composition
5,00509,,00509,,00509,Aparajita Nanda,3,African American Studies,R1B,001,B,Letter Grade,B,Freshmn Composition
2,00509,,00509,,00509,Aparajita Nanda,2.7,African American Studies,R1B,001,B,Letter Grade,B-,Freshmn Composition
