Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,57303,,57303,,57303,Brian Stone; Dave Bautista,4,Aerospace Studies,1A,001,A,Letter Grade,A+,Found Us Air Force
3,57303,,57303,,57303,Brian Stone; Dave Bautista,4,Aerospace Studies,1A,001,A,Letter Grade,A,Found Us Air Force
5,57303,,57303,,57303,Brian Stone; Dave Bautista,3.7,Aerospace Studies,1A,001,A,Letter Grade,A-,Found Us Air Force
3,57303,,57303,,57303,Brian Stone; Dave Bautista,3.3,Aerospace Studies,1A,001,B,Letter Grade,B+,Found Us Air Force
4,57303,,57303,,57303,Brian Stone; Dave Bautista,3,Aerospace Studies,1A,001,B,Letter Grade,B,Found Us Air Force
2,57303,,57303,,57303,Brian Stone; Dave Bautista,2.3,Aerospace Studies,1A,001,C,Letter Grade,C+,Found Us Air Force
1,57303,,57303,,57303,Brian Stone; Dave Bautista,,Aerospace Studies,1A,001,Credit,Non-Letter Grade,Pass,Found Us Air Force
3,57306,,57306,,57306,Brian Stone; Dave Bautista,4,Aerospace Studies,2A,001,A,Letter Grade,A,Evolut Of Air Power
5,57306,,57306,,57306,Brian Stone; Dave Bautista,3.7,Aerospace Studies,2A,001,A,Letter Grade,A-,Evolut Of Air Power
2,57306,,57306,,57306,Brian Stone; Dave Bautista,3.3,Aerospace Studies,2A,001,B,Letter Grade,B+,Evolut Of Air Power
1,57306,,57306,,57306,Brian Stone; Dave Bautista,3,Aerospace Studies,2A,001,B,Letter Grade,B,Evolut Of Air Power
1,57306,,57306,,57306,Brian Stone; Dave Bautista,2.7,Aerospace Studies,2A,001,B,Letter Grade,B-,Evolut Of Air Power
36,57309,,57309,,57309,Charles Rice,,Aerospace Studies,100,001,Credit,Non-Letter Grade,Pass,Leadership Lab
1,57309,,57309,,57309,Charles Rice,,Aerospace Studies,100,001,No Credit,Non-Letter Grade,Not Pass,Leadership Lab
5,57312,,57312,,57312,Charles Rice,4,Aerospace Studies,135A,001,A,Letter Grade,A+,Air Force Studies
1,57312,,57312,,57312,Charles Rice,4,Aerospace Studies,135A,001,A,Letter Grade,A,Air Force Studies
2,57312,,57312,,57312,Charles Rice,3.7,Aerospace Studies,135A,001,A,Letter Grade,A-,Air Force Studies
1,57312,,57312,,57312,Charles Rice,3.3,Aerospace Studies,135A,001,B,Letter Grade,B+,Air Force Studies
1,57312,,57312,,57312,Charles Rice,2.7,Aerospace Studies,135A,001,B,Letter Grade,B-,Air Force Studies
15,00502,,00502,,00502,Charles Henry; Ronald Williams,4,African American Studies,R1A,001,A,Letter Grade,A,Fresh Composition
1,00502,,00502,,00502,Charles Henry; Ronald Williams,3.3,African American Studies,R1A,001,B,Letter Grade,B+,Fresh Composition
1,00502,,00502,,00502,Charles Henry; Ronald Williams,3,African American Studies,R1A,001,B,Letter Grade,B,Fresh Composition
1,00502,,00502,,00502,Charles Henry; Ronald Williams,2.7,African American Studies,R1A,001,B,Letter Grade,B-,Fresh Composition
1,00505,,00505,,00505,Charles Henry; Ivy Mills,4,African American Studies,R1A,002,A,Letter Grade,A,Fresh Composition
2,00505,,00505,,00505,Charles Henry; Ivy Mills,3.7,African American Studies,R1A,002,A,Letter Grade,A-,Fresh Composition
6,00505,,00505,,00505,Charles Henry; Ivy Mills,3.3,African American Studies,R1A,002,B,Letter Grade,B+,Fresh Composition
6,00505,,00505,,00505,Charles Henry; Ivy Mills,3,African American Studies,R1A,002,B,Letter Grade,B,Fresh Composition
1,00505,,00505,,00505,Charles Henry; Ivy Mills,1.7,African American Studies,R1A,002,C,Letter Grade,C-,Fresh Composition
1,00503,,00503,,00503,Aparajita Nanda,4,African American Studies,R1B,001,A,Letter Grade,A+,Freshmn Composition
4,00503,,00503,,00503,Aparajita Nanda,3.7,African American Studies,R1B,001,A,Letter Grade,A-,Freshmn Composition
2,00503,,00503,,00503,Aparajita Nanda,3.3,African American Studies,R1B,001,B,Letter Grade,B+,Freshmn Composition
5,00503,,00503,,00503,Aparajita Nanda,3,African American Studies,R1B,001,B,Letter Grade,B,Freshmn Composition
2,00503,,00503,,00503,Aparajita Nanda,2.7,African American Studies,R1B,001,B,Letter Grade,B-,Freshmn Composition
1,00503,,00503,,00503,Aparajita Nanda,2.3,African American Studies,R1B,001,C,Letter Grade,C+,Freshmn Composition
1,00503,,00503,,00503,Aparajita Nanda,2,African American Studies,R1B,001,C,Letter Grade,C,Freshmn Composition
1,00509,,00509,,00509,G. Ugo Nwokeji,4,African American Studies,4A,001,A,Letter Grade,A+,Africa:  Hist & Cul
8,00509,,00509,,00509,G. Ugo Nwokeji,4,African American Studies,4A,001,A,Letter Grade,A,Africa:  Hist & Cul
6,00509,,00509,,00509,G. Ugo Nwokeji,3.7,African American Studies,4A,001,A,Letter Grade,A-,Africa:  Hist & Cul
9,00509,,00509,,00509,G. Ugo Nwokeji,3.3,African American Studies,4A,001,B,Letter Grade,B+,Africa:  Hist & Cul
8,00509,,00509,,00509,G. Ugo Nwokeji,3,African American Studies,4A,001,B,Letter Grade,B,Africa:  Hist & Cul
4,00509,,00509,,00509,G. Ugo Nwokeji,2.7,African American Studies,4A,001,B,Letter Grade,B-,Africa:  Hist & Cul
5,00509,,00509,,00509,G. Ugo Nwokeji,2.3,African American Studies,4A,001,C,Letter Grade,C+,Africa:  Hist & Cul
3,00509,,00509,,00509,G. Ugo Nwokeji,2,African American Studies,4A,001,C,Letter Grade,C,Africa:  Hist & Cul
1,00509,,00509,,00509,G. Ugo Nwokeji,1.3,African American Studies,4A,001,D,Letter Grade,D+,Africa:  Hist & Cul
1,00509,,00509,,00509,G. Ugo Nwokeji,1,African American Studies,4A,001,D,Letter Grade,D,Africa:  Hist & Cul
2,00509,,00509,,00509,G. Ugo Nwokeji,0,African American Studies,4A,001,F,Letter Grade,F,Africa:  Hist & Cul
10,00509,,00509,,00509,G. Ugo Nwokeji,,African American Studies,4A,001,Credit,Non-Letter Grade,Pass,Africa:  Hist & Cul
4,00521,,00521,,00521,Brandi Catanese,4,African American Studies,5A,001,A,Letter Grade,A,Afam Life & Cul U S
9,00521,,00521,,00521,Brandi Catanese,3.7,African American Studies,5A,001,A,Letter Grade,A-,Afam Life & Cul U S
7,00521,,00521,,00521,Brandi Catanese,3.3,African American Studies,5A,001,B,Letter Grade,B+,Afam Life & Cul U S
7,00521,,00521,,00521,Brandi Catanese,3,African American Studies,5A,001,B,Letter Grade,B,Afam Life & Cul U S
12,00521,,00521,,00521,Brandi Catanese,2.7,African American Studies,5A,001,B,Letter Grade,B-,Afam Life & Cul U S
4,00521,,00521,,00521,Brandi Catanese,2.3,African American Studies,5A,001,C,Letter Grade,C+,Afam Life & Cul U S
5,00521,,00521,,00521,Brandi Catanese,2,African American Studies,5A,001,C,Letter Grade,C,Afam Life & Cul U S
6,00521,,00521,,00521,Brandi Catanese,1.7,African American Studies,5A,001,C,Letter Grade,C-,Afam Life & Cul U S
1,00521,,00521,,00521,Brandi Catanese,1.3,African American Studies,5A,001,D,Letter Grade,D+,Afam Life & Cul U S
3,00521,,00521,,00521,Brandi Catanese,1,African American Studies,5A,001,D,Letter Grade,D,Afam Life & Cul U S
2,00521,,00521,,00521,Brandi Catanese,0.7,African American Studies,5A,001,D,Letter Grade,D-,Afam Life & Cul U S
1,00521,,00521,,00521,Brandi Catanese,0,African American Studies,5A,001,F,Letter Grade,F,Afam Life & Cul U S
3,00521,,00521,,00521,Brandi Catanese,,African American Studies,5A,001,Credit,Non-Letter Grade,Pass,Afam Life & Cul U S
12,00521,,00521,,00521,Brandi Catanese,,African American Studies,5A,001,No Credit,Non-Letter Grade,Not Pass,Afam Life & Cul U S
1,00533,,00533,,00533,Alassane Sow,4,African American Studies,7A,001,A,Letter Grade,A,Elementary Wolof
2,00536,,00536,,00536,Alassane Sow,4,African American Studies,8A,001,A,Letter Grade,A,Intermediate Wolof
3,00539,,00539,,00539,Joseph Omwamba,4,African American Studies,10A,001,A,Letter Grade,A,Intermed Swahili
