Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
5,00533,,00533,,00533,Brandi Catanese,1.7,African American Studies,5A,001,C,Letter Grade,C-,Afam Life & Cul U S
1,00533,,00533,,00533,Brandi Catanese,1.3,African American Studies,5A,001,D,Letter Grade,D+,Afam Life & Cul U S
1,00533,,00533,,00533,Brandi Catanese,1,African American Studies,5A,001,D,Letter Grade,D,Afam Life & Cul U S
4,00533,,00533,,00533,Brandi Catanese,0,African American Studies,5A,001,F,Letter Grade,F,Afam Life & Cul U S
6,00533,,00533,,00533,Brandi Catanese,,African American Studies,5A,001,Credit,Non-Letter Grade,Pass,Afam Life & Cul U S
5,00533,,00533,,00533,Brandi Catanese,,African American Studies,5A,001,No Credit,Non-Letter Grade,Not Pass,Afam Life & Cul U S
1,00545,,00545,,00545,Alassane Sow,4,African American Studies,7A,001,A,Letter Grade,A+,Elementary Wolof
1,00545,,00545,,00545,Alassane Sow,4,African American Studies,7A,001,A,Letter Grade,A,Elementary Wolof
2,00551,,00551,,00551,Sam Mchombo,4,African American Studies,10A,001,A,Letter Grade,A+,Intermed Swahili
4,00551,,00551,,00551,Sam Mchombo,4,African American Studies,10A,001,A,Letter Grade,A,Intermed Swahili
2,00551,,00551,,00551,Sam Mchombo,3.7,African American Studies,10A,001,A,Letter Grade,A-,Intermed Swahili
1,00551,,00551,,00551,Sam Mchombo,,African American Studies,10A,001,Credit,Non-Letter Grade,Pass,Intermed Swahili
2,00554,,00554,,00554,David Kyeu,4,African American Studies,11A,001,A,Letter Grade,A,Elementary Swahili
2,00554,,00554,,00554,David Kyeu,3.7,African American Studies,11A,001,A,Letter Grade,A-,Elementary Swahili
2,00554,,00554,,00554,David Kyeu,3.3,African American Studies,11A,001,B,Letter Grade,B+,Elementary Swahili
1,00554,,00554,,00554,David Kyeu,3,African American Studies,11A,001,B,Letter Grade,B,Elementary Swahili
4,00557,,00557,,00557,David Kyeu,4,African American Studies,11A,002,A,Letter Grade,A,Elementary Swahili
1,00557,,00557,,00557,David Kyeu,3.3,African American Studies,11A,002,B,Letter Grade,B+,Elementary Swahili
2,00566,,00566,,00566,David Kyeu,4,African American Studies,15A,001,A,Letter Grade,A+,Advanced Swahili
16,00572,,00572,,00572,Sam Mchombo,,African American Studies,24,001,Credit,Non-Letter Grade,Pass,Freshman Seminars
38,00575,,00575,,00575,Michael Cohen,4,African American Studies,27AC,001,A,Letter Grade,A,Lives/Strug/Maj Cul
17,00575,,00575,,00575,Michael Cohen,3.7,African American Studies,27AC,001,A,Letter Grade,A-,Lives/Strug/Maj Cul
13,00575,,00575,,00575,Michael Cohen,3.3,African American Studies,27AC,001,B,Letter Grade,B+,Lives/Strug/Maj Cul
15,00575,,00575,,00575,Michael Cohen,3,African American Studies,27AC,001,B,Letter Grade,B,Lives/Strug/Maj Cul
7,00575,,00575,,00575,Michael Cohen,2.7,African American Studies,27AC,001,B,Letter Grade,B-,Lives/Strug/Maj Cul
3,00575,,00575,,00575,Michael Cohen,2.3,African American Studies,27AC,001,C,Letter Grade,C+,Lives/Strug/Maj Cul
1,00575,,00575,,00575,Michael Cohen,2,African American Studies,27AC,001,C,Letter Grade,C,Lives/Strug/Maj Cul
1,00575,,00575,,00575,Michael Cohen,1.7,African American Studies,27AC,001,C,Letter Grade,C-,Lives/Strug/Maj Cul
3,00575,,00575,,00575,Michael Cohen,0,African American Studies,27AC,001,F,Letter Grade,F,Lives/Strug/Maj Cul
19,00575,,00575,,00575,Michael Cohen,,African American Studies,27AC,001,Credit,Non-Letter Grade,Pass,Lives/Strug/Maj Cul
5,00575,,00575,,00575,Michael Cohen,,African American Studies,27AC,001,No Credit,Non-Letter Grade,Not Pass,Lives/Strug/Maj Cul
1,00590,,00590,,00590,Sam Mchombo,4,African American Studies,30A,001,A,Letter Grade,A,Elementary Chichewa
6,00593,,00593,,00593,Nailah Suad-Bakari,,African American Studies,98,001,Credit,Non-Letter Grade,Pass,Directed Group Stdy
42,00596,,00596,,00596,Nailah Suad-Bakari,,African American Studies,98,002,Credit,Non-Letter Grade,Pass,Directed Group Stdy
1,00596,,00596,,00596,Nailah Suad-Bakari,,African American Studies,98,002,No Credit,Non-Letter Grade,Not Pass,Directed Group Stdy
13,00605,,00605,,00605,Makhoul Ghassan; Ula Taylor,,African American Studies,98,006,Credit,Non-Letter Grade,Pass,Directed Group Stdy
9,00608,,00608,,00608,Ranel Santos; Ula Taylor,,African American Studies,98,007,Credit,Non-Letter Grade,Pass,Directed Group Stdy
11,00611,,00611,,00611,Armando Acero; Frederick Vincent,,African American Studies,98,008,Credit,Non-Letter Grade,Pass,Directed Group Stdy
12,00614,,00614,,00614,Nailah Suad-Bakari,,African American Studies,98,009,Credit,Non-Letter Grade,Pass,Directed Group Stdy
24,00617,,00617,,00617,Nailah Suad-Bakari,,African American Studies,98,010,Credit,Non-Letter Grade,Pass,Directed Group Stdy
1,00617,,00617,,00617,Nailah Suad-Bakari,,African American Studies,98,010,No Credit,Non-Letter Grade,Not Pass,Directed Group Stdy
