Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
9,57302,,57302,,57302,Charles Rice,4,Aerospace Studies,1B,001,A,Letter Grade,A+,Found Us Air Force
6,57302,,57302,,57302,Charles Rice,4,Aerospace Studies,1B,001,A,Letter Grade,A,Found Us Air Force
6,57302,,57302,,57302,Charles Rice,3.7,Aerospace Studies,1B,001,A,Letter Grade,A-,Found Us Air Force
1,57302,,57302,,57302,Charles Rice,3.3,Aerospace Studies,1B,001,B,Letter Grade,B+,Found Us Air Force
1,57302,,57302,,57302,Charles Rice,2.7,Aerospace Studies,1B,001,B,Letter Grade,B-,Found Us Air Force
3,57302,,57302,,57302,Charles Rice,,Aerospace Studies,1B,001,Credit,Non-Letter Grade,Pass,Found Us Air Force
4,57303,,57303,,57303,Charles Rice,4,Aerospace Studies,2B,001,A,Letter Grade,A+,Evolut Of Air Power
2,57303,,57303,,57303,Charles Rice,3.7,Aerospace Studies,2B,001,A,Letter Grade,A-,Evolut Of Air Power
2,57303,,57303,,57303,Charles Rice,3.3,Aerospace Studies,2B,001,B,Letter Grade,B+,Evolut Of Air Power
1,57303,,57303,,57303,Charles Rice,3,Aerospace Studies,2B,001,B,Letter Grade,B,Evolut Of Air Power
1,57303,,57303,,57303,Charles Rice,2.7,Aerospace Studies,2B,001,B,Letter Grade,B-,Evolut Of Air Power
4,57303,,57303,,57303,Charles Rice,,Aerospace Studies,2B,001,Credit,Non-Letter Grade,Pass,Evolut Of Air Power
34,57306,,57306,,57306,Charles Rice,,Aerospace Studies,100,001,Credit,Non-Letter Grade,Pass,Leadership Lab
2,57306,,57306,,57306,Charles Rice,,Aerospace Studies,100,001,No Credit,Non-Letter Grade,Not Pass,Leadership Lab
2,57309,,57309,,57309,Kathryn Parker,4,Aerospace Studies,135B,001,A,Letter Grade,A,Air Force Studies
2,57309,,57309,,57309,Kathryn Parker,3.7,Aerospace Studies,135B,001,A,Letter Grade,A-,Air Force Studies
1,00503,,00503,,00503,Aparajita Nanda,4,African American Studies,R1A,001,A,Letter Grade,A+,Fresh Composition
5,00503,,00503,,00503,Aparajita Nanda,4,African American Studies,R1A,001,A,Letter Grade,A,Fresh Composition
5,00503,,00503,,00503,Aparajita Nanda,3.7,African American Studies,R1A,001,A,Letter Grade,A-,Fresh Composition
7,00503,,00503,,00503,Aparajita Nanda,3.3,African American Studies,R1A,001,B,Letter Grade,B+,Fresh Composition
5,00503,,00503,,00503,Aparajita Nanda,3,African American Studies,R1A,001,B,Letter Grade,B,Fresh Composition
2,00503,,00503,,00503,Aparajita Nanda,2.7,African American Studies,R1A,001,B,Letter Grade,B-,Fresh Composition
1,00503,,00503,,00503,Aparajita Nanda,2.3,African American Studies,R1A,001,C,Letter Grade,C+,Fresh Composition
1,00509,,00509,,00509,Aparajita Nanda,4,African American Studies,R1B,001,A,Letter Grade,A+,Freshmn Composition
4,00509,,00509,,00509,Aparajita Nanda,4,African American Studies,R1B,001,A,Letter Grade,A,Freshmn Composition
8,00509,,00509,,00509,Aparajita Nanda,3.7,African American Studies,R1B,001,A,Letter Grade,A-,Freshmn Composition
2,00509,,00509,,00509,Aparajita Nanda,3.3,African American Studies,R1B,001,B,Letter Grade,B+,Freshmn Composition
3,00509,,00509,,00509,Aparajita Nanda,2.7,African American Studies,R1B,001,B,Letter Grade,B-,Freshmn Composition
1,00509,,00509,,00509,Aparajita Nanda,2.3,African American Studies,R1B,001,C,Letter Grade,C+,Freshmn Composition
2,00509,,00509,,00509,Aparajita Nanda,0,African American Studies,R1B,001,F,Letter Grade,F,Freshmn Composition
3,00521,,00521,,00521,G. Ugo Nwokeji,4,African American Studies,4B,001,A,Letter Grade,A+,Africa:  Hist & Cul
13,00521,,00521,,00521,G. Ugo Nwokeji,4,African American Studies,4B,001,A,Letter Grade,A,Africa:  Hist & Cul
8,00521,,00521,,00521,G. Ugo Nwokeji,3.7,African American Studies,4B,001,A,Letter Grade,A-,Africa:  Hist & Cul
17,00521,,00521,,00521,G. Ugo Nwokeji,3.3,African American Studies,4B,001,B,Letter Grade,B+,Africa:  Hist & Cul
11,00521,,00521,,00521,G. Ugo Nwokeji,3,African American Studies,4B,001,B,Letter Grade,B,Africa:  Hist & Cul
6,00521,,00521,,00521,G. Ugo Nwokeji,2.7,African American Studies,4B,001,B,Letter Grade,B-,Africa:  Hist & Cul
2,00521,,00521,,00521,G. Ugo Nwokeji,2.3,African American Studies,4B,001,C,Letter Grade,C+,Africa:  Hist & Cul
