Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
3,57306,,57306,,57306,Brian Stone,4,Aerospace Studies,1,001,A,Letter Grade,A+,Usaf & Nat Sec
4,57306,,57306,,57306,Brian Stone,4,Aerospace Studies,1,001,A,Letter Grade,A,Usaf & Nat Sec
1,57306,,57306,,57306,Brian Stone,3.7,Aerospace Studies,1,001,A,Letter Grade,A-,Usaf & Nat Sec
1,57306,,57306,,57306,Brian Stone,3.3,Aerospace Studies,1,001,B,Letter Grade,B+,Usaf & Nat Sec
4,57303,,57303,,57303,Amber Henson,4,Aerospace Studies,2B,001,A,Letter Grade,A+,Evolut Of Air Power
2,57303,,57303,,57303,Amber Henson,4,Aerospace Studies,2B,001,A,Letter Grade,A,Evolut Of Air Power
1,57303,,57303,,57303,Amber Henson,3.7,Aerospace Studies,2B,001,A,Letter Grade,A-,Evolut Of Air Power
1,57303,,57303,,57303,Amber Henson,2.7,Aerospace Studies,2B,001,B,Letter Grade,B-,Evolut Of Air Power
1,57303,,57303,,57303,Amber Henson,,Aerospace Studies,2B,001,Credit,Non-Letter Grade,Pass,Evolut Of Air Power
28,57309,,57309,,57309,Amber Henson,,Aerospace Studies,100,001,Credit,Non-Letter Grade,Pass,Leadership Lab
1,57312,,57312,,57312,Amber Henson,4,Aerospace Studies,135B,001,A,Letter Grade,A+,Air Force Studies
2,57312,,57312,,57312,Amber Henson,4,Aerospace Studies,135B,001,A,Letter Grade,A,Air Force Studies
2,00503,,00503,,00503,Aparajita Nanda,4,African American Studies,R1A,001,A,Letter Grade,A+,Fresh Composition
3,00503,,00503,,00503,Aparajita Nanda,4,African American Studies,R1A,001,A,Letter Grade,A,Fresh Composition
7,00503,,00503,,00503,Aparajita Nanda,3.7,African American Studies,R1A,001,A,Letter Grade,A-,Fresh Composition
8,00503,,00503,,00503,Aparajita Nanda,3.3,African American Studies,R1A,001,B,Letter Grade,B+,Fresh Composition
2,00503,,00503,,00503,Aparajita Nanda,3,African American Studies,R1A,001,B,Letter Grade,B,Fresh Composition
1,00503,,00503,,00503,Aparajita Nanda,2.7,African American Studies,R1A,001,B,Letter Grade,B-,Fresh Composition
2,00503,,00503,,00503,Aparajita Nanda,2.3,African American Studies,R1A,001,C,Letter Grade,C+,Fresh Composition
1,00503,,00503,,00503,Aparajita Nanda,0,African American Studies,R1A,001,F,Letter Grade,F,Fresh Composition
2,00509,,00509,,00509,Aparajita Nanda; Luisa Giulianetti,4,African American Studies,R1B,001,A,Letter Grade,A+,Freshmn Composition
6,00509,,00509,,00509,Aparajita Nanda; Luisa Giulianetti,4,African American Studies,R1B,001,A,Letter Grade,A,Freshmn Composition
7,00509,,00509,,00509,Aparajita Nanda; Luisa Giulianetti,3.7,African American Studies,R1B,001,A,Letter Grade,A-,Freshmn Composition
10,00509,,00509,,00509,Aparajita Nanda; Luisa Giulianetti,3.3,African American Studies,R1B,001,B,Letter Grade,B+,Freshmn Composition
10,00509,,00509,,00509,Aparajita Nanda; Luisa Giulianetti,3,African American Studies,R1B,001,B,Letter Grade,B,Freshmn Composition
1,00509,,00509,,00509,Aparajita Nanda; Luisa Giulianetti,2.7,African American Studies,R1B,001,B,Letter Grade,B-,Freshmn Composition
2,00509,,00509,,00509,Aparajita Nanda; Luisa Giulianetti,2.3,African American Studies,R1B,001,C,Letter Grade,C+,Freshmn Composition
1,00509,,00509,,00509,Aparajita Nanda; Luisa Giulianetti,2,African American Studies,R1B,001,C,Letter Grade,C,Freshmn Composition
1,00509,,00509,,00509,Aparajita Nanda; Luisa Giulianetti,0,African American Studies,R1B,001,F,Letter Grade,F,Freshmn Composition
4,00515,,00515,,00515,Luisa Giulianetti,4,African American Studies,R1B,002,A,Letter Grade,A,Freshmn Composition
8,00515,,00515,,00515,Luisa Giulianetti,3.7,African American Studies,R1B,002,A,Letter Grade,A-,Freshmn Composition
3,00515,,00515,,00515,Luisa Giulianetti,3.3,African American Studies,R1B,002,B,Letter Grade,B+,Freshmn Composition
4,00515,,00515,,00515,Luisa Giulianetti,3,African American Studies,R1B,002,B,Letter Grade,B,Freshmn Composition
1,00515,,00515,,00515,Luisa Giulianetti,2.3,African American Studies,R1B,002,C,Letter Grade,C+,Freshmn Composition
1,00515,,00515,,00515,Luisa Giulianetti,2,African American Studies,R1B,002,C,Letter Grade,C,Freshmn Composition
1,00515,,00515,,00515,Luisa Giulianetti,0,African American Studies,R1B,002,F,Letter Grade,F,Freshmn Composition
1,00521,,00521,,00521,Natasha Himmelman,4,African American Studies,4B,001,A,Letter Grade,A+,Africa:  Hist & Cul
10,00521,,00521,,00521,Natasha Himmelman,4,African American Studies,4B,001,A,Letter Grade,A,Africa:  Hist & Cul
16,00521,,00521,,00521,Natasha Himmelman,3.7,African American Studies,4B,001,A,Letter Grade,A-,Africa:  Hist & Cul
12,00521,,00521,,00521,Natasha Himmelman,3.3,African American Studies,4B,001,B,Letter Grade,B+,Africa:  Hist & Cul
15,00521,,00521,,00521,Natasha Himmelman,3,African American Studies,4B,001,B,Letter Grade,B,Africa:  Hist & Cul
14,00521,,00521,,00521,Natasha Himmelman,2.7,African American Studies,4B,001,B,Letter Grade,B-,Africa:  Hist & Cul
5,00521,,00521,,00521,Natasha Himmelman,2.3,African American Studies,4B,001,C,Letter Grade,C+,Africa:  Hist & Cul
1,00521,,00521,,00521,Natasha Himmelman,1.7,African American Studies,4B,001,C,Letter Grade,C-,Africa:  Hist & Cul
2,00521,,00521,,00521,Natasha Himmelman,1.3,African American Studies,4B,001,D,Letter Grade,D+,Africa:  Hist & Cul
6,00521,,00521,,00521,Natasha Himmelman,,African American Studies,4B,001,Credit,Non-Letter Grade,Pass,Africa:  Hist & Cul
3,00536,,00536,,00536,Brandi Catanese,4,African American Studies,5A,001,A,Letter Grade,A+,Afam Life & Cul U S
11,00536,,00536,,00536,Brandi Catanese,4,African American Studies,5A,001,A,Letter Grade,A,Afam Life & Cul U S
8,00536,,00536,,00536,Brandi Catanese,3.7,African American Studies,5A,001,A,Letter Grade,A-,Afam Life & Cul U S
7,00536,,00536,,00536,Brandi Catanese,3.3,African American Studies,5A,001,B,Letter Grade,B+,Afam Life & Cul U S
13,00536,,00536,,00536,Brandi Catanese,3,African American Studies,5A,001,B,Letter Grade,B,Afam Life & Cul U S
9,00536,,00536,,00536,Brandi Catanese,2.7,African American Studies,5A,001,B,Letter Grade,B-,Afam Life & Cul U S
5,00536,,00536,,00536,Brandi Catanese,2.3,African American Studies,5A,001,C,Letter Grade,C+,Afam Life & Cul U S
4,00536,,00536,,00536,Brandi Catanese,2,African American Studies,5A,001,C,Letter Grade,C,Afam Life & Cul U S
1,00536,,00536,,00536,Brandi Catanese,1.7,African American Studies,5A,001,C,Letter Grade,C-,Afam Life & Cul U S
1,00536,,00536,,00536,Brandi Catanese,1.3,African American Studies,5A,001,D,Letter Grade,D+,Afam Life & Cul U S
1,00536,,00536,,00536,Brandi Catanese,1,African American Studies,5A,001,D,Letter Grade,D,Afam Life & Cul U S
1,00536,,00536,,00536,Brandi Catanese,0.7,African American Studies,5A,001,D,Letter Grade,D-,Afam Life & Cul U S
2,00536,,00536,,00536,Brandi Catanese,0,African American Studies,5A,001,F,Letter Grade,F,Afam Life & Cul U S
5,00536,,00536,,00536,Brandi Catanese,,African American Studies,5A,001,Credit,Non-Letter Grade,Pass,Afam Life & Cul U S
1,00548,,00548,,00548,Alassane Sow,4,African American Studies,C9B,001,A,Letter Grade,A,Advanced Wolof
1,00548,,00548,,00548,Alassane Sow,,African American Studies,C9B,001,Credit,Non-Letter Grade,Satisfactory,Advanced Wolof
1,00551,,00551,,00551,Joseph Omwamba,,African American Studies,C10B,001,Credit,Non-Letter Grade,Pass,Intermed Swahili
2,00551,,00551,,00551,Joseph Omwamba,,African American Studies,C10B,001,Credit,Non-Letter Grade,Satisfactory,Intermed Swahili
2,00554,,00554,,00554,Sam Mchombo,4,African American Studies,C11B,001,A,Letter Grade,A+,Elementary Swahili
2,00554,,00554,,00554,Sam Mchombo,4,African American Studies,C11B,001,A,Letter Grade,A,Elementary Swahili
3,00554,,00554,,00554,Sam Mchombo,3.7,African American Studies,C11B,001,A,Letter Grade,A-,Elementary Swahili
1,00554,,00554,,00554,Sam Mchombo,3.3,African American Studies,C11B,001,B,Letter Grade,B+,Elementary Swahili
2,00554,,00554,,00554,Sam Mchombo,3,African American Studies,C11B,001,B,Letter Grade,B,Elementary Swahili
1,00554,,00554,,00554,Sam Mchombo,2.7,African American Studies,C11B,001,B,Letter Grade,B-,Elementary Swahili
1,00554,,00554,,00554,Sam Mchombo,,African American Studies,C11B,001,Credit,Non-Letter Grade,Pass,Elementary Swahili
1,00557,,00557,,00557,Sam Mchombo,4,African American Studies,C11B,002,A,Letter Grade,A+,Elementary Swahili
2,00557,,00557,,00557,Sam Mchombo,4,African American Studies,C11B,002,A,Letter Grade,A,Elementary Swahili
4,00557,,00557,,00557,Sam Mchombo,3.7,African American Studies,C11B,002,A,Letter Grade,A-,Elementary Swahili
1,00557,,00557,,00557,Sam Mchombo,3,African American Studies,C11B,002,B,Letter Grade,B,Elementary Swahili
