Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
5,57303,,57303,,57303,Amber Henson,4,Aerospace Studies,1,001,A,Letter Grade,A+,Usaf & Nat Sec
3,57303,,57303,,57303,Amber Henson,4,Aerospace Studies,1,001,A,Letter Grade,A,Usaf & Nat Sec
1,57303,,57303,,57303,Amber Henson,3.7,Aerospace Studies,1,001,A,Letter Grade,A-,Usaf & Nat Sec
1,57303,,57303,,57303,Amber Henson,3.3,Aerospace Studies,1,001,B,Letter Grade,B+,Usaf & Nat Sec
2,57303,,57303,,57303,Amber Henson,3,Aerospace Studies,1,001,B,Letter Grade,B,Usaf & Nat Sec
1,57303,,57303,,57303,Amber Henson,2.7,Aerospace Studies,1,001,B,Letter Grade,B-,Usaf & Nat Sec
2,57303,,57303,,57303,Amber Henson,2,Aerospace Studies,1,001,C,Letter Grade,C,Usaf & Nat Sec
1,57303,,57303,,57303,Amber Henson,0,Aerospace Studies,1,001,F,Letter Grade,F,Usaf & Nat Sec
1,57303,,57303,,57303,Amber Henson,,Aerospace Studies,1,001,Credit,Non-Letter Grade,Pass,Usaf & Nat Sec
2,57306,,57306,,57306,Amber Henson,4,Aerospace Studies,2A,001,A,Letter Grade,A+,Evolut Of Air Power
2,57306,,57306,,57306,Amber Henson,3.7,Aerospace Studies,2A,001,A,Letter Grade,A-,Evolut Of Air Power
1,57306,,57306,,57306,Amber Henson,3.3,Aerospace Studies,2A,001,B,Letter Grade,B+,Evolut Of Air Power
2,57306,,57306,,57306,Amber Henson,2.7,Aerospace Studies,2A,001,B,Letter Grade,B-,Evolut Of Air Power
1,57306,,57306,,57306,Amber Henson,2.3,Aerospace Studies,2A,001,C,Letter Grade,C+,Evolut Of Air Power
2,57306,,57306,,57306,Amber Henson,2,Aerospace Studies,2A,001,C,Letter Grade,C,Evolut Of Air Power
1,57306,,57306,,57306,Amber Henson,,Aerospace Studies,2A,001,Credit,Non-Letter Grade,Pass,Evolut Of Air Power
17,57309,,57309,,57309,Vincent Lau,,Aerospace Studies,100,001,Credit,Non-Letter Grade,Pass,Leadership Lab
1,57312,,57312,,57312,Bradford Jensen,4,Aerospace Studies,135A,001,A,Letter Grade,A+,Air Force Studies
2,57312,,57312,,57312,Bradford Jensen,4,Aerospace Studies,135A,001,A,Letter Grade,A,Air Force Studies
1,57312,,57312,,57312,Bradford Jensen,3.7,Aerospace Studies,135A,001,A,Letter Grade,A-,Air Force Studies
1,57312,,57312,,57312,Bradford Jensen,3.3,Aerospace Studies,135A,001,B,Letter Grade,B+,Air Force Studies
3,57312,,57312,,57312,Bradford Jensen,3,Aerospace Studies,135A,001,B,Letter Grade,B,Air Force Studies
4,00503,,00503,,00503,Donnett Flash,3.7,African American Studies,R1A,001,A,Letter Grade,A-,Fresh Composition
9,00503,,00503,,00503,Donnett Flash,3.3,African American Studies,R1A,001,B,Letter Grade,B+,Fresh Composition
3,00503,,00503,,00503,Donnett Flash,3,African American Studies,R1A,001,B,Letter Grade,B,Fresh Composition
1,00503,,00503,,00503,Donnett Flash,2.7,African American Studies,R1A,001,B,Letter Grade,B-,Fresh Composition
1,00503,,00503,,00503,Donnett Flash,0,African American Studies,R1A,001,F,Letter Grade,F,Fresh Composition
6,00509,,00509,,00509,Aparajita Nanda,4,African American Studies,R1B,001,A,Letter Grade,A,Freshmn Composition
4,00509,,00509,,00509,Aparajita Nanda,3.7,African American Studies,R1B,001,A,Letter Grade,A-,Freshmn Composition
4,00509,,00509,,00509,Aparajita Nanda,3.3,African American Studies,R1B,001,B,Letter Grade,B+,Freshmn Composition
6,00509,,00509,,00509,Aparajita Nanda,3,African American Studies,R1B,001,B,Letter Grade,B,Freshmn Composition
4,00509,,00509,,00509,Aparajita Nanda,2.7,African American Studies,R1B,001,B,Letter Grade,B-,Freshmn Composition
4,00509,,00509,,00509,Aparajita Nanda,2.3,African American Studies,R1B,001,C,Letter Grade,C+,Freshmn Composition
1,00509,,00509,,00509,Aparajita Nanda,2,African American Studies,R1B,001,C,Letter Grade,C,Freshmn Composition
1,00509,,00509,,00509,Aparajita Nanda,0,African American Studies,R1B,001,F,Letter Grade,F,Freshmn Composition
1,00515,,00515,,00515,Charles Henry,4,African American Studies,R1B,002,A,Letter Grade,A+,Freshmn Composition
10,00515,,00515,,00515,Charles Henry,4,African American Studies,R1B,002,A,Letter Grade,A,Freshmn Composition
9,00515,,00515,,00515,Charles Henry,3.7,African American Studies,R1B,002,A,Letter Grade,A-,Freshmn Composition
2,00515,,00515,,00515,Charles Henry,3.3,African American Studies,R1B,002,B,Letter Grade,B+,Freshmn Composition
1,00515,,00515,,00515,Charles Henry,3,African American Studies,R1B,002,B,Letter Grade,B,Freshmn Composition
1,00521,,00521,,00521,G. Ugo Nwokeji,4,African American Studies,4A,001,A,Letter Grade,A+,Africa:  Hist & Cul
25,00521,,00521,,00521,G. Ugo Nwokeji,4,African American Studies,4A,001,A,Letter Grade,A,Africa:  Hist & Cul
19,00521,,00521,,00521,G. Ugo Nwokeji,3.7,African American Studies,4A,001,A,Letter Grade,A-,Africa:  Hist & Cul
21,00521,,00521,,00521,G. Ugo Nwokeji,3.3,African American Studies,4A,001,B,Letter Grade,B+,Africa:  Hist & Cul
19,00521,,00521,,00521,G. Ugo Nwokeji,3,African American Studies,4A,001,B,Letter Grade,B,Africa:  Hist & Cul
7,00521,,00521,,00521,G. Ugo Nwokeji,2.7,African American Studies,4A,001,B,Letter Grade,B-,Africa:  Hist & Cul
4,00521,,00521,,00521,G. Ugo Nwokeji,2.3,African American Studies,4A,001,C,Letter Grade,C+,Africa:  Hist & Cul
2,00521,,00521,,00521,G. Ugo Nwokeji,1.3,African American Studies,4A,001,D,Letter Grade,D+,Africa:  Hist & Cul
1,00521,,00521,,00521,G. Ugo Nwokeji,1,African American Studies,4A,001,D,Letter Grade,D,Africa:  Hist & Cul
1,00521,,00521,,00521,G. Ugo Nwokeji,0,African American Studies,4A,001,F,Letter Grade,F,Africa:  Hist & Cul
7,00521,,00521,,00521,G. Ugo Nwokeji,,African American Studies,4A,001,Credit,Non-Letter Grade,Pass,Africa:  Hist & Cul
1,00521,,00521,,00521,G. Ugo Nwokeji,,African American Studies,4A,001,No Credit,Non-Letter Grade,Not Pass,Africa:  Hist & Cul
22,00533,,00533,,00533,Siri Brown,4,African American Studies,5A,001,A,Letter Grade,A+,Afam Life & Cul U S
12,00533,,00533,,00533,Siri Brown,4,African American Studies,5A,001,A,Letter Grade,A,Afam Life & Cul U S
