Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
4,57206,,57206,,57206,Alexander Simpson; Mack-jan Spencer,4,Aerospace Studies,1B,001,A,Letter Grade,A+,Found Us Air Force
11,57206,,57206,,57206,Alexander Simpson; Mack-jan Spencer,4,Aerospace Studies,1B,001,A,Letter Grade,A,Found Us Air Force
4,57206,,57206,,57206,Alexander Simpson; Mack-jan Spencer,3.7,Aerospace Studies,1B,001,A,Letter Grade,A-,Found Us Air Force
1,57206,,57206,,57206,Alexander Simpson; Mack-jan Spencer,3.3,Aerospace Studies,1B,001,B,Letter Grade,B+,Found Us Air Force
1,57206,,57206,,57206,Alexander Simpson; Mack-jan Spencer,3,Aerospace Studies,1B,001,B,Letter Grade,B,Found Us Air Force
1,57206,,57206,,57206,Alexander Simpson; Mack-jan Spencer,2,Aerospace Studies,1B,001,C,Letter Grade,C,Found Us Air Force
5,57212,,57212,,57212,Alexander Simpson; Mack-jan Spencer,4,Aerospace Studies,2B,001,A,Letter Grade,A,Evolut Of Air Power
1,57212,,57212,,57212,Alexander Simpson; Mack-jan Spencer,3.7,Aerospace Studies,2B,001,A,Letter Grade,A-,Evolut Of Air Power
3,57212,,57212,,57212,Alexander Simpson; Mack-jan Spencer,3.3,Aerospace Studies,2B,001,B,Letter Grade,B+,Evolut Of Air Power
7,57212,,57212,,57212,Alexander Simpson; Mack-jan Spencer,3,Aerospace Studies,2B,001,B,Letter Grade,B,Evolut Of Air Power
2,57212,,57212,,57212,Alexander Simpson; Mack-jan Spencer,2.3,Aerospace Studies,2B,001,C,Letter Grade,C+,Evolut Of Air Power
54,57215,,57215,,57215,Alexander Simpson; Mack-jan Spencer; Mariko Boone,,Aerospace Studies,100,001,Credit,Non-Letter Grade,Pass,Leadership Lab
3,57218,,57218,,57218,Alexander Simpson; Mack-jan Spencer; Mariko Boone,4,Aerospace Studies,135B,001,A,Letter Grade,A+,Air Force Studies
3,57218,,57218,,57218,Alexander Simpson; Mack-jan Spencer; Mariko Boone,4,Aerospace Studies,135B,001,A,Letter Grade,A,Air Force Studies
4,57218,,57218,,57218,Alexander Simpson; Mack-jan Spencer; Mariko Boone,3.7,Aerospace Studies,135B,001,A,Letter Grade,A-,Air Force Studies
1,57218,,57218,,57218,Alexander Simpson; Mack-jan Spencer; Mariko Boone,3.3,Aerospace Studies,135B,001,B,Letter Grade,B+,Air Force Studies
1,57218,,57218,,57218,Alexander Simpson; Mack-jan Spencer; Mariko Boone,3,Aerospace Studies,135B,001,B,Letter Grade,B,Air Force Studies
5,00503,,00503,,00503,Aparajita Nanda,4,African American Studies,R1A,001,A,Letter Grade,A,Fresh Composition
8,00503,,00503,,00503,Aparajita Nanda,3.7,African American Studies,R1A,001,A,Letter Grade,A-,Fresh Composition
3,00503,,00503,,00503,Aparajita Nanda,3.3,African American Studies,R1A,001,B,Letter Grade,B+,Fresh Composition
3,00503,,00503,,00503,Aparajita Nanda,3,African American Studies,R1A,001,B,Letter Grade,B,Fresh Composition
1,00503,,00503,,00503,Aparajita Nanda,2.7,African American Studies,R1A,001,B,Letter Grade,B-,Fresh Composition
1,00509,,00509,,00509,Aparajita Nanda,4,African American Studies,R1B,001,A,Letter Grade,A+,Freshmn Composition
6,00509,,00509,,00509,Aparajita Nanda,4,African American Studies,R1B,001,A,Letter Grade,A,Freshmn Composition
3,00509,,00509,,00509,Aparajita Nanda,3.7,African American Studies,R1B,001,A,Letter Grade,A-,Freshmn Composition
3,00509,,00509,,00509,Aparajita Nanda,3.3,African American Studies,R1B,001,B,Letter Grade,B+,Freshmn Composition
3,00509,,00509,,00509,Aparajita Nanda,3,African American Studies,R1B,001,B,Letter Grade,B,Freshmn Composition
3,00509,,00509,,00509,Aparajita Nanda,2.7,African American Studies,R1B,001,B,Letter Grade,B-,Freshmn Composition
1,00509,,00509,,00509,Aparajita Nanda,2,African American Studies,R1B,001,C,Letter Grade,C,Freshmn Composition
1,00509,,00509,,00509,Aparajita Nanda,1.7,African American Studies,R1B,001,C,Letter Grade,C-,Freshmn Composition
1,00509,,00509,,00509,Aparajita Nanda,0,African American Studies,R1B,001,F,Letter Grade,F,Freshmn Composition
