Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,10105,,10105,,10105,Aparajita Nanda,4,African American Studies,R1A,001,A,Letter Grade,A+,Fresh Composition
2,10105,,10105,,10105,Aparajita Nanda,4,African American Studies,R1A,001,A,Letter Grade,A,Fresh Composition
7,10105,,10105,,10105,Aparajita Nanda,3.7,African American Studies,R1A,001,A,Letter Grade,A-,Fresh Composition
2,10105,,10105,,10105,Aparajita Nanda,3.3,African American Studies,R1A,001,B,Letter Grade,B+,Fresh Composition
5,10105,,10105,,10105,Aparajita Nanda,3,African American Studies,R1A,001,B,Letter Grade,B,Fresh Composition
2,10105,,10105,,10105,Aparajita Nanda,2.7,African American Studies,R1A,001,B,Letter Grade,B-,Fresh Composition
2,10105,,10105,,10105,Aparajita Nanda,0,African American Studies,R1A,001,F,Letter Grade,F,Fresh Composition
5,10115,,10115,,10115,Lia Bascomb; Nailah Suad-Bakari,3.7,African American Studies,R1AN,001,A,Letter Grade,A-,R & C Sum Bdg
3,10115,,10115,,10115,Lia Bascomb; Nailah Suad-Bakari,3.3,African American Studies,R1AN,001,B,Letter Grade,B+,R & C Sum Bdg
5,10115,,10115,,10115,Lia Bascomb; Nailah Suad-Bakari,3,African American Studies,R1AN,001,B,Letter Grade,B,R & C Sum Bdg
4,10115,,10115,,10115,Lia Bascomb; Nailah Suad-Bakari,2.7,African American Studies,R1AN,001,B,Letter Grade,B-,R & C Sum Bdg
1,10115,,10115,,10115,Lia Bascomb; Nailah Suad-Bakari,2.3,African American Studies,R1AN,001,C,Letter Grade,C+,R & C Sum Bdg
1,10115,,10115,,10115,Lia Bascomb; Nailah Suad-Bakari,2,African American Studies,R1AN,001,C,Letter Grade,C,R & C Sum Bdg
1,10120,,10120,,10120,Aparajita Nanda,4,African American Studies,R1B,001,A,Letter Grade,A+,Freshmn Composition
2,10120,,10120,,10120,Aparajita Nanda,4,African American Studies,R1B,001,A,Letter Grade,A,Freshmn Composition
6,10120,,10120,,10120,Aparajita Nanda,3.7,African American Studies,R1B,001,A,Letter Grade,A-,Freshmn Composition
9,10120,,10120,,10120,Aparajita Nanda,3.3,African American Studies,R1B,001,B,Letter Grade,B+,Freshmn Composition
1,10120,,10120,,10120,Aparajita Nanda,3,African American Studies,R1B,001,B,Letter Grade,B,Freshmn Composition
2,10120,,10120,,10120,Aparajita Nanda,2.7,African American Studies,R1B,001,B,Letter Grade,B-,Freshmn Composition
1,10130,,10130,,10130,Aparajita Nanda,4,African American Studies,R1B,002,A,Letter Grade,A,Freshmn Composition
4,10130,,10130,,10130,Aparajita Nanda,3.7,African American Studies,R1B,002,A,Letter Grade,A-,Freshmn Composition
6,10130,,10130,,10130,Aparajita Nanda,3.3,African American Studies,R1B,002,B,Letter Grade,B+,Freshmn Composition
6,10130,,10130,,10130,Aparajita Nanda,3,African American Studies,R1B,002,B,Letter Grade,B,Freshmn Composition
2,10130,,10130,,10130,Aparajita Nanda,2.7,African American Studies,R1B,002,B,Letter Grade,B-,Freshmn Composition
5,10130,,10130,,10130,Aparajita Nanda,2.3,African American Studies,R1B,002,C,Letter Grade,C+,Freshmn Composition
1,10130,,10130,,10130,Aparajita Nanda,1.7,African American Studies,R1B,002,C,Letter Grade,C-,Freshmn Composition
1,10130,,10130,,10130,Aparajita Nanda,1,African American Studies,R1B,002,D,Letter Grade,D,Freshmn Composition
1,10130,,10130,,10130,Aparajita Nanda,,African American Studies,R1B,002,No Credit,Non-Letter Grade,Not Pass,Freshmn Composition
