Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
6,57303,,57303,,57303,Brian Stone,4,Aerospace Studies,1,001,A,Letter Grade,A+,Usaf & Nat Sec
2,57303,,57303,,57303,Brian Stone,4,Aerospace Studies,1,001,A,Letter Grade,A,Usaf & Nat Sec
3,57303,,57303,,57303,Brian Stone,3.7,Aerospace Studies,1,001,A,Letter Grade,A-,Usaf & Nat Sec
1,57303,,57303,,57303,Brian Stone,3.3,Aerospace Studies,1,001,B,Letter Grade,B+,Usaf & Nat Sec
1,57303,,57303,,57303,Brian Stone,2.7,Aerospace Studies,1,001,B,Letter Grade,B-,Usaf & Nat Sec
6,57303,,57303,,57303,Brian Stone,,Aerospace Studies,1,001,Credit,Non-Letter Grade,Pass,Usaf & Nat Sec
4,57306,,57306,,57306,Amber Henson,4,Aerospace Studies,2A,001,A,Letter Grade,A+,Evolut Of Air Power
2,57306,,57306,,57306,Amber Henson,4,Aerospace Studies,2A,001,A,Letter Grade,A,Evolut Of Air Power
25,57309,,57309,,57309,Amber Henson,,Aerospace Studies,100,001,Credit,Non-Letter Grade,Pass,Leadership Lab
1,57312,,57312,,57312,Amber Henson,4,Aerospace Studies,135A,001,A,Letter Grade,A+,Air Force Studies
3,57312,,57312,,57312,Amber Henson,4,Aerospace Studies,135A,001,A,Letter Grade,A,Air Force Studies
2,57312,,57312,,57312,Amber Henson,3.7,Aerospace Studies,135A,001,A,Letter Grade,A-,Air Force Studies
8,00503,,00503,,00503,Kelley Deetz; Ula Taylor,4,African American Studies,R1A,001,A,Letter Grade,A,Fresh Composition
7,00503,,00503,,00503,Kelley Deetz; Ula Taylor,3.7,African American Studies,R1A,001,A,Letter Grade,A-,Fresh Composition
13,00503,,00503,,00503,Kelley Deetz; Ula Taylor,3.3,African American Studies,R1A,001,B,Letter Grade,B+,Fresh Composition
2,00503,,00503,,00503,Kelley Deetz; Ula Taylor,3,African American Studies,R1A,001,B,Letter Grade,B,Fresh Composition
1,00503,,00503,,00503,Kelley Deetz; Ula Taylor,2.7,African American Studies,R1A,001,B,Letter Grade,B-,Fresh Composition
1,00503,,00503,,00503,Kelley Deetz; Ula Taylor,2,African American Studies,R1A,001,C,Letter Grade,C,Fresh Composition
1,00503,,00503,,00503,Kelley Deetz; Ula Taylor,1,African American Studies,R1A,001,D,Letter Grade,D,Fresh Composition
2,00509,,00509,,00509,Aparajita Nanda,4,African American Studies,R1B,001,A,Letter Grade,A+,Freshmn Composition
5,00509,,00509,,00509,Aparajita Nanda,4,African American Studies,R1B,001,A,Letter Grade,A,Freshmn Composition
7,00509,,00509,,00509,Aparajita Nanda,3.7,African American Studies,R1B,001,A,Letter Grade,A-,Freshmn Composition
8,00509,,00509,,00509,Aparajita Nanda,3.3,African American Studies,R1B,001,B,Letter Grade,B+,Freshmn Composition
7,00509,,00509,,00509,Aparajita Nanda,3,African American Studies,R1B,001,B,Letter Grade,B,Freshmn Composition
2,00509,,00509,,00509,Aparajita Nanda,2.7,African American Studies,R1B,001,B,Letter Grade,B-,Freshmn Composition
1,00509,,00509,,00509,Aparajita Nanda,2.3,African American Studies,R1B,001,C,Letter Grade,C+,Freshmn Composition
1,00509,,00509,,00509,Aparajita Nanda,2,African American Studies,R1B,001,C,Letter Grade,C,Freshmn Composition
1,00509,,00509,,00509,Aparajita Nanda,1.7,African American Studies,R1B,001,C,Letter Grade,C-,Freshmn Composition
1,00509,,00509,,00509,Aparajita Nanda,0,African American Studies,R1B,001,F,Letter Grade,F,Freshmn Composition
9,00521,,00521,,00521,G. Ugo Nwokeji,4,African American Studies,4A,001,A,Letter Grade,A,Africa:  Hist & Cul
9,00521,,00521,,00521,G. Ugo Nwokeji,3.7,African American Studies,4A,001,A,Letter Grade,A-,Africa:  Hist & Cul
22,00521,,00521,,00521,G. Ugo Nwokeji,3.3,African American Studies,4A,001,B,Letter Grade,B+,Africa:  Hist & Cul
26,00521,,00521,,00521,G. Ugo Nwokeji,3,African American Studies,4A,001,B,Letter Grade,B,Africa:  Hist & Cul
9,00521,,00521,,00521,G. Ugo Nwokeji,2.7,African American Studies,4A,001,B,Letter Grade,B-,Africa:  Hist & Cul
6,00521,,00521,,00521,G. Ugo Nwokeji,2.3,African American Studies,4A,001,C,Letter Grade,C+,Africa:  Hist & Cul
1,00521,,00521,,00521,G. Ugo Nwokeji,2,African American Studies,4A,001,C,Letter Grade,C,Africa:  Hist & Cul
4,00521,,00521,,00521,G. Ugo Nwokeji,1.7,African American Studies,4A,001,C,Letter Grade,C-,Africa:  Hist & Cul
1,00521,,00521,,00521,G. Ugo Nwokeji,1.3,African American Studies,4A,001,D,Letter Grade,D+,Africa:  Hist & Cul
2,00521,,00521,,00521,G. Ugo Nwokeji,1,African American Studies,4A,001,D,Letter Grade,D,Africa:  Hist & Cul
1,00521,,00521,,00521,G. Ugo Nwokeji,0.7,African American Studies,4A,001,D,Letter Grade,D-,Africa:  Hist & Cul
1,00521,,00521,,00521,G. Ugo Nwokeji,0,African American Studies,4A,001,F,Letter Grade,F,Africa:  Hist & Cul
3,00521,,00521,,00521,G. Ugo Nwokeji,,African American Studies,4A,001,Credit,Non-Letter Grade,Pass,Africa:  Hist & Cul
9,00536,,00536,,00536,Robert Allen,4,African American Studies,5B,001,A,Letter Grade,A+,Afam Life & Cul U S
20,00536,,00536,,00536,Robert Allen,4,African American Studies,5B,001,A,Letter Grade,A,Afam Life & Cul U S
15,00536,,00536,,00536,Robert Allen,3.7,African American Studies,5B,001,A,Letter Grade,A-,Afam Life & Cul U S
14,00536,,00536,,00536,Robert Allen,3.3,African American Studies,5B,001,B,Letter Grade,B+,Afam Life & Cul U S
7,00536,,00536,,00536,Robert Allen,3,African American Studies,5B,001,B,Letter Grade,B,Afam Life & Cul U S
12,00536,,00536,,00536,Robert Allen,2.7,African American Studies,5B,001,B,Letter Grade,B-,Afam Life & Cul U S
3,00536,,00536,,00536,Robert Allen,2.3,African American Studies,5B,001,C,Letter Grade,C+,Afam Life & Cul U S
2,00536,,00536,,00536,Robert Allen,2,African American Studies,5B,001,C,Letter Grade,C,Afam Life & Cul U S
6,00536,,00536,,00536,Robert Allen,1.7,African American Studies,5B,001,C,Letter Grade,C-,Afam Life & Cul U S
2,00536,,00536,,00536,Robert Allen,0,African American Studies,5B,001,F,Letter Grade,F,Afam Life & Cul U S
3,00536,,00536,,00536,Robert Allen,,African American Studies,5B,001,Credit,Non-Letter Grade,Pass,Afam Life & Cul U S
1,00549,,00549,,00549,Joseph Omwamba,4,African American Studies,C10A,001,A,Letter Grade,A,Intermed Swahili
1,00549,,00549,,00549,Joseph Omwamba,3.7,African American Studies,C10A,001,A,Letter Grade,A-,Intermed Swahili
1,00549,,00549,,00549,Joseph Omwamba,2,African American Studies,C10A,001,C,Letter Grade,C,Intermed Swahili
1,00550,,00550,,00550,Sam Mchombo,4,African American Studies,C11A,001,A,Letter Grade,A+,Elementary Swahili
8,00550,,00550,,00550,Sam Mchombo,4,African American Studies,C11A,001,A,Letter Grade,A,Elementary Swahili
2,00550,,00550,,00550,Sam Mchombo,3.7,African American Studies,C11A,001,A,Letter Grade,A-,Elementary Swahili
1,00550,,00550,,00550,Sam Mchombo,3.3,African American Studies,C11A,001,B,Letter Grade,B+,Elementary Swahili
1,00550,,00550,,00550,Sam Mchombo,2.7,African American Studies,C11A,001,B,Letter Grade,B-,Elementary Swahili
1,00788,,00788,,00788,Sam Mchombo,4,African American Studies,C11A,002,A,Letter Grade,A+,Elementary Swahili
5,00788,,00788,,00788,Sam Mchombo,4,African American Studies,C11A,002,A,Letter Grade,A,Elementary Swahili
3,00788,,00788,,00788,Sam Mchombo,3.7,African American Studies,C11A,002,A,Letter Grade,A-,Elementary Swahili
1,00788,,00788,,00788,Sam Mchombo,3.3,African American Studies,C11A,002,B,Letter Grade,B+,Elementary Swahili
1,00788,,00788,,00788,Sam Mchombo,2.3,African American Studies,C11A,002,C,Letter Grade,C+,Elementary Swahili
1,00788,,00788,,00788,Sam Mchombo,,African American Studies,C11A,002,Credit,Non-Letter Grade,Pass,Elementary Swahili
1,00791,,00791,,00791,Sam Mchombo,4,African American Studies,C11B,001,A,Letter Grade,A+,Elementary Swahili
1,00791,,00791,,00791,Sam Mchombo,4,African American Studies,C11B,001,A,Letter Grade,A,Elementary Swahili
1,00791,,00791,,00791,Sam Mchombo,2,African American Studies,C11B,001,C,Letter Grade,C,Elementary Swahili
1,00791,,00791,,00791,Sam Mchombo,,African American Studies,C11B,001,Credit,Non-Letter Grade,Satisfactory,Elementary Swahili
2,00794,,00794,,00794,Galen Sibanda,4,African American Studies,C13A,001,A,Letter Grade,A,Elementary Zulu
2,00794,,00794,,00794,Galen Sibanda,3.7,African American Studies,C13A,001,A,Letter Grade,A-,Elementary Zulu
2,00794,,00794,,00794,Galen Sibanda,,African American Studies,C13A,001,Credit,Non-Letter Grade,Pass,Elementary Zulu
2,00551,,00551,,00551,Percy Hintzen,4,African American Studies,27AC,001,A,Letter Grade,A+,Lives/Strug/Maj Cul
18,00551,,00551,,00551,Percy Hintzen,4,African American Studies,27AC,001,A,Letter Grade,A,Lives/Strug/Maj Cul
26,00551,,00551,,00551,Percy Hintzen,3.7,African American Studies,27AC,001,A,Letter Grade,A-,Lives/Strug/Maj Cul
20,00551,,00551,,00551,Percy Hintzen,3.3,African American Studies,27AC,001,B,Letter Grade,B+,Lives/Strug/Maj Cul
17,00551,,00551,,00551,Percy Hintzen,3,African American Studies,27AC,001,B,Letter Grade,B,Lives/Strug/Maj Cul
7,00551,,00551,,00551,Percy Hintzen,2.7,African American Studies,27AC,001,B,Letter Grade,B-,Lives/Strug/Maj Cul
8,00551,,00551,,00551,Percy Hintzen,2.3,African American Studies,27AC,001,C,Letter Grade,C+,Lives/Strug/Maj Cul
4,00551,,00551,,00551,Percy Hintzen,2,African American Studies,27AC,001,C,Letter Grade,C,Lives/Strug/Maj Cul
3,00551,,00551,,00551,Percy Hintzen,1.7,African American Studies,27AC,001,C,Letter Grade,C-,Lives/Strug/Maj Cul
1,00551,,00551,,00551,Percy Hintzen,1,African American Studies,27AC,001,D,Letter Grade,D,Lives/Strug/Maj Cul
2,00551,,00551,,00551,Percy Hintzen,0.7,African American Studies,27AC,001,D,Letter Grade,D-,Lives/Strug/Maj Cul
1,00551,,00551,,00551,Percy Hintzen,0,African American Studies,27AC,001,F,Letter Grade,F,Lives/Strug/Maj Cul
24,00551,,00551,,00551,Percy Hintzen,,African American Studies,27AC,001,Credit,Non-Letter Grade,Pass,Lives/Strug/Maj Cul
7,00551,,00551,,00551,Percy Hintzen,,African American Studies,27AC,001,No Credit,Non-Letter Grade,Not Pass,Lives/Strug/Maj Cul
1,00568,,00568,,00568,John Patton,4,African American Studies,39B,001,A,Letter Grade,A+,Fresh/Soph Seminar
8,00568,,00568,,00568,John Patton,4,African American Studies,39B,001,A,Letter Grade,A,Fresh/Soph Seminar
3,00568,,00568,,00568,John Patton,3.7,African American Studies,39B,001,A,Letter Grade,A-,Fresh/Soph Seminar
4,00568,,00568,,00568,John Patton,3.3,African American Studies,39B,001,B,Letter Grade,B+,Fresh/Soph Seminar
2,00568,,00568,,00568,John Patton,3,African American Studies,39B,001,B,Letter Grade,B,Fresh/Soph Seminar
1,00568,,00568,,00568,John Patton,1.7,African American Studies,39B,001,C,Letter Grade,C-,Fresh/Soph Seminar
1,00785,,00785,,00785,Cara Stanley,4,African American Studies,39B,002,A,Letter Grade,A+,Fresh/Soph Seminar
1,00785,,00785,,00785,Cara Stanley,4,African American Studies,39B,002,A,Letter Grade,A,Fresh/Soph Seminar
5,00785,,00785,,00785,Cara Stanley,3.7,African American Studies,39B,002,A,Letter Grade,A-,Fresh/Soph Seminar
2,00785,,00785,,00785,Cara Stanley,3.3,African American Studies,39B,002,B,Letter Grade,B+,Fresh/Soph Seminar
6,00785,,00785,,00785,Cara Stanley,3,African American Studies,39B,002,B,Letter Grade,B,Fresh/Soph Seminar
2,00785,,00785,,00785,Cara Stanley,2.7,African American Studies,39B,002,B,Letter Grade,B-,Fresh/Soph Seminar
8,00569,,00569,,00569,Charles Henry,,African American Studies,98,001,Credit,Non-Letter Grade,Pass,Directed Group Stdy
8,00572,,00572,,00572,Charles Henry,,African American Studies,98,002,Credit,Non-Letter Grade,Pass,Directed Group Stdy
29,00575,,00575,,00575,Lisa Morris; Ula Taylor,,African American Studies,98,003,Credit,Non-Letter Grade,Pass,Directed Group Stdy
4,00575,,00575,,00575,Lisa Morris; Ula Taylor,,African American Studies,98,003,No Credit,Non-Letter Grade,Not Pass,Directed Group Stdy
9,00578,,00578,,00578,Charles Henry; John Campbell,,African American Studies,98,004,Credit,Non-Letter Grade,Pass,Directed Group Stdy
7,00583,,00583,,00583,Charles Henry; Christopher Reid,,African American Studies,98,006,Credit,Non-Letter Grade,Pass,Directed Group Stdy
30,00590,,00590,,00590,Charles Henry,,African American Studies,98,009,Credit,Non-Letter Grade,Pass,Directed Group Stdy
2,00590,,00590,,00590,Charles Henry,,African American Studies,98,009,No Credit,Non-Letter Grade,Not Pass,Directed Group Stdy
7,00593,,00593,,00593,Robert Allen,,African American Studies,98,010,Credit,Non-Letter Grade,Pass,Directed Group Stdy
10,00596,,00596,,00596,Robert Allen,,African American Studies,98,011,Credit,Non-Letter Grade,Pass,Directed Group Stdy
1,00599,,00599,,00599,Ula Taylor,,African American Studies,98,012,No Credit,Non-Letter Grade,Not Pass,Directed Group Stdy
1,00614,,00614,,00614,Leigh Raiford,4,African American Studies,100,001,A,Letter Grade,A+,Black Intllctl Thgh
6,00614,,00614,,00614,Leigh Raiford,4,African American Studies,100,001,A,Letter Grade,A,Black Intllctl Thgh
3,00614,,00614,,00614,Leigh Raiford,3.7,African American Studies,100,001,A,Letter Grade,A-,Black Intllctl Thgh
4,00614,,00614,,00614,Leigh Raiford,3.3,African American Studies,100,001,B,Letter Grade,B+,Black Intllctl Thgh
1,00614,,00614,,00614,Leigh Raiford,3,African American Studies,100,001,B,Letter Grade,B,Black Intllctl Thgh
4,00614,,00614,,00614,Leigh Raiford,2.7,African American Studies,100,001,B,Letter Grade,B-,Black Intllctl Thgh
2,00614,,00614,,00614,Leigh Raiford,2.3,African American Studies,100,001,C,Letter Grade,C+,Black Intllctl Thgh
1,00614,,00614,,00614,Leigh Raiford,1.7,African American Studies,100,001,C,Letter Grade,C-,Black Intllctl Thgh
1,00614,,00614,,00614,Leigh Raiford,0.7,African American Studies,100,001,D,Letter Grade,D-,Black Intllctl Thgh
1,00614,,00614,,00614,Leigh Raiford,0,African American Studies,100,001,F,Letter Grade,F,Black Intllctl Thgh
3,00620,,00620,,00620,Hardy Frye,4,African American Studies,101,001,A,Letter Grade,A,Research Methods
1,00620,,00620,,00620,Hardy Frye,3.7,African American Studies,101,001,A,Letter Grade,A-,Research Methods
3,00620,,00620,,00620,Hardy Frye,3,African American Studies,101,001,B,Letter Grade,B,Research Methods
3,00620,,00620,,00620,Hardy Frye,2.3,African American Studies,101,001,C,Letter Grade,C+,Research Methods
2,00620,,00620,,00620,Hardy Frye,,African American Studies,101,001,No Credit,Non-Letter Grade,Not Pass,Research Methods
7,00629,,00629,,00629,Percy Hintzen,4,African American Studies,112A,001,A,Letter Grade,A,Pol/Eco Dev 3rd Wld
11,00629,,00629,,00629,Percy Hintzen,3.7,African American Studies,112A,001,A,Letter Grade,A-,Pol/Eco Dev 3rd Wld
8,00629,,00629,,00629,Percy Hintzen,3.3,African American Studies,112A,001,B,Letter Grade,B+,Pol/Eco Dev 3rd Wld
10,00629,,00629,,00629,Percy Hintzen,3,African American Studies,112A,001,B,Letter Grade,B,Pol/Eco Dev 3rd Wld
5,00629,,00629,,00629,Percy Hintzen,2.7,African American Studies,112A,001,B,Letter Grade,B-,Pol/Eco Dev 3rd Wld
1,00629,,00629,,00629,Percy Hintzen,2.3,African American Studies,112A,001,C,Letter Grade,C+,Pol/Eco Dev 3rd Wld
1,00629,,00629,,00629,Percy Hintzen,2,African American Studies,112A,001,C,Letter Grade,C,Pol/Eco Dev 3rd Wld
3,00629,,00629,,00629,Percy Hintzen,0,African American Studies,112A,001,F,Letter Grade,F,Pol/Eco Dev 3rd Wld
4,00629,,00629,,00629,Percy Hintzen,,African American Studies,112A,001,Credit,Non-Letter Grade,Pass,Pol/Eco Dev 3rd Wld
