Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
3,10105,,10105,,10105,Aparajita Nanda,4,African American Studies,R1A,001,A,Letter Grade,A,Fresh Composition
3,10105,,10105,,10105,Aparajita Nanda,3.7,African American Studies,R1A,001,A,Letter Grade,A-,Fresh Composition
1,10105,,10105,,10105,Aparajita Nanda,3.3,African American Studies,R1A,001,B,Letter Grade,B+,Fresh Composition
2,10105,,10105,,10105,Aparajita Nanda,3,African American Studies,R1A,001,B,Letter Grade,B,Fresh Composition
2,10125,,10125,,10125,Luisa Giulianetti,3.7,African American Studies,R1AN,001,A,Letter Grade,A-,R & C Sum Bdg
4,10125,,10125,,10125,Luisa Giulianetti,3.3,African American Studies,R1AN,001,B,Letter Grade,B+,R & C Sum Bdg
5,10125,,10125,,10125,Luisa Giulianetti,3,African American Studies,R1AN,001,B,Letter Grade,B,R & C Sum Bdg
1,10125,,10125,,10125,Luisa Giulianetti,2.7,African American Studies,R1AN,001,B,Letter Grade,B-,R & C Sum Bdg
1,10125,,10125,,10125,Luisa Giulianetti,2.3,African American Studies,R1AN,001,C,Letter Grade,C+,R & C Sum Bdg
2,10125,,10125,,10125,Luisa Giulianetti,2,African American Studies,R1AN,001,C,Letter Grade,C,R & C Sum Bdg
1,10125,,10125,,10125,Luisa Giulianetti,1.7,African American Studies,R1AN,001,C,Letter Grade,C-,R & C Sum Bdg
4,10130,,10130,,10130,Aparajita Nanda,4,African American Studies,R1B,001,A,Letter Grade,A,Freshmn Composition
7,10130,,10130,,10130,Aparajita Nanda,3.7,African American Studies,R1B,001,A,Letter Grade,A-,Freshmn Composition
5,10130,,10130,,10130,Aparajita Nanda,3.3,African American Studies,R1B,001,B,Letter Grade,B+,Freshmn Composition
3,10130,,10130,,10130,Aparajita Nanda,3,African American Studies,R1B,001,B,Letter Grade,B,Freshmn Composition
2,10130,,10130,,10130,Aparajita Nanda,2.7,African American Studies,R1B,001,B,Letter Grade,B-,Freshmn Composition
1,10130,,10130,,10130,Aparajita Nanda,2.3,African American Studies,R1B,001,C,Letter Grade,C+,Freshmn Composition
4,10130,,10130,,10130,Aparajita Nanda,0,African American Studies,R1B,001,F,Letter Grade,F,Freshmn Composition
1,10130,,10130,,10130,Aparajita Nanda,,African American Studies,R1B,001,Credit,Non-Letter Grade,Pass,Freshmn Composition
1,10140,,10140,,10140,Aparajita Nanda,4,African American Studies,R1B,002,A,Letter Grade,A+,Freshmn Composition
3,10140,,10140,,10140,Aparajita Nanda,4,African American Studies,R1B,002,A,Letter Grade,A,Freshmn Composition
7,10140,,10140,,10140,Aparajita Nanda,3.7,African American Studies,R1B,002,A,Letter Grade,A-,Freshmn Composition
6,10140,,10140,,10140,Aparajita Nanda,3.3,African American Studies,R1B,002,B,Letter Grade,B+,Freshmn Composition
4,10140,,10140,,10140,Aparajita Nanda,3,African American Studies,R1B,002,B,Letter Grade,B,Freshmn Composition
3,10140,,10140,,10140,Aparajita Nanda,2.7,African American Studies,R1B,002,B,Letter Grade,B-,Freshmn Composition
2,10140,,10140,,10140,Aparajita Nanda,2.3,African American Studies,R1B,002,C,Letter Grade,C+,Freshmn Composition
1,10140,,10140,,10140,Aparajita Nanda,0,African American Studies,R1B,002,F,Letter Grade,F,Freshmn Composition
1,10150,,10150,,10150,G. Ugo Nwokeji,4,African American Studies,4A,001,A,Letter Grade,A,Africa:  Hist & Cul
1,10150,,10150,,10150,G. Ugo Nwokeji,3.7,African American Studies,4A,001,A,Letter Grade,A-,Africa:  Hist & Cul
3,10150,,10150,,10150,G. Ugo Nwokeji,3.3,African American Studies,4A,001,B,Letter Grade,B+,Africa:  Hist & Cul
1,10150,,10150,,10150,G. Ugo Nwokeji,2.7,African American Studies,4A,001,B,Letter Grade,B-,Africa:  Hist & Cul
1,10150,,10150,,10150,G. Ugo Nwokeji,2.3,African American Studies,4A,001,C,Letter Grade,C+,Africa:  Hist & Cul
1,10150,,10150,,10150,G. Ugo Nwokeji,1.7,African American Studies,4A,001,C,Letter Grade,C-,Africa:  Hist & Cul
2,10150,,10150,,10150,G. Ugo Nwokeji,1.3,African American Studies,4A,001,D,Letter Grade,D+,Africa:  Hist & Cul
3,10150,,10150,,10150,G. Ugo Nwokeji,,African American Studies,4A,001,Credit,Non-Letter Grade,Pass,Africa:  Hist & Cul
1,10150,,10150,,10150,G. Ugo Nwokeji,,African American Studies,4A,001,No Credit,Non-Letter Grade,Not Pass,Africa:  Hist & Cul
11,10160,,10160,,10160,Arif Gamal,4,African American Studies,4B,001,A,Letter Grade,A,Africa:  Hist & Cul
5,10160,,10160,,10160,Arif Gamal,3.7,African American Studies,4B,001,A,Letter Grade,A-,Africa:  Hist & Cul
1,10160,,10160,,10160,Arif Gamal,,African American Studies,4B,001,No Credit,Non-Letter Grade,Not Pass,Africa:  Hist & Cul
1,10170,,10170,,10170,Cara Stanley,4,African American Studies,39D,001,A,Letter Grade,A,Fresh/Soph Seminar
2,10170,,10170,,10170,Cara Stanley,3.7,African American Studies,39D,001,A,Letter Grade,A-,Fresh/Soph Seminar
4,10170,,10170,,10170,Cara Stanley,3.3,African American Studies,39D,001,B,Letter Grade,B+,Fresh/Soph Seminar
7,10170,,10170,,10170,Cara Stanley,3,African American Studies,39D,001,B,Letter Grade,B,Fresh/Soph Seminar
2,10170,,10170,,10170,Cara Stanley,,African American Studies,39D,001,Credit,Non-Letter Grade,Pass,Fresh/Soph Seminar
1,10175,,10175,,10175,John Patton,4,African American Studies,39E,001,A,Letter Grade,A,Fresh/Soph Seminar
1,10175,,10175,,10175,John Patton,3.3,African American Studies,39E,001,B,Letter Grade,B+,Fresh/Soph Seminar
2,10175,,10175,,10175,John Patton,3,African American Studies,39E,001,B,Letter Grade,B,Fresh/Soph Seminar
3,10175,,10175,,10175,John Patton,2.7,African American Studies,39E,001,B,Letter Grade,B-,Fresh/Soph Seminar
1,10175,,10175,,10175,John Patton,2.3,African American Studies,39E,001,C,Letter Grade,C+,Fresh/Soph Seminar
7,10175,,10175,,10175,John Patton,,African American Studies,39E,001,Credit,Non-Letter Grade,Pass,Fresh/Soph Seminar
16,10180,,10180,,10180,Stephen Small,4,African American Studies,W111,001,A,Letter Grade,A,"Race, Class & Gen"
10,10180,,10180,,10180,Stephen Small,3.7,African American Studies,W111,001,A,Letter Grade,A-,"Race, Class & Gen"
12,10180,,10180,,10180,Stephen Small,3.3,African American Studies,W111,001,B,Letter Grade,B+,"Race, Class & Gen"
10,10180,,10180,,10180,Stephen Small,3,African American Studies,W111,001,B,Letter Grade,B,"Race, Class & Gen"
5,10180,,10180,,10180,Stephen Small,2.7,African American Studies,W111,001,B,Letter Grade,B-,"Race, Class & Gen"
1,10180,,10180,,10180,Stephen Small,2.3,African American Studies,W111,001,C,Letter Grade,C+,"Race, Class & Gen"
4,10180,,10180,,10180,Stephen Small,2,African American Studies,W111,001,C,Letter Grade,C,"Race, Class & Gen"
1,10180,,10180,,10180,Stephen Small,1.3,African American Studies,W111,001,D,Letter Grade,D+,"Race, Class & Gen"
2,10180,,10180,,10180,Stephen Small,0,African American Studies,W111,001,F,Letter Grade,F,"Race, Class & Gen"
21,10180,,10180,,10180,Stephen Small,,African American Studies,W111,001,Credit,Non-Letter Grade,Pass,"Race, Class & Gen"
10,10180,,10180,,10180,Stephen Small,,African American Studies,W111,001,No Credit,Non-Letter Grade,Not Pass,"Race, Class & Gen"
3,10185,,10185,,10185,Sam Mchombo,4,African American Studies,115,001,A,Letter Grade,A+,Lang Soc Iss Africa
5,10185,,10185,,10185,Sam Mchombo,4,African American Studies,115,001,A,Letter Grade,A,Lang Soc Iss Africa
3,10185,,10185,,10185,Sam Mchombo,3.7,African American Studies,115,001,A,Letter Grade,A-,Lang Soc Iss Africa
8,10190,,10190,,10190,Charles Henry,4,African American Studies,W124,001,A,Letter Grade,A+,Pol Phil M L King
24,10190,,10190,,10190,Charles Henry,4,African American Studies,W124,001,A,Letter Grade,A,Pol Phil M L King
2,10190,,10190,,10190,Charles Henry,3.7,African American Studies,W124,001,A,Letter Grade,A-,Pol Phil M L King
1,10190,,10190,,10190,Charles Henry,3.3,African American Studies,W124,001,B,Letter Grade,B+,Pol Phil M L King
