Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
5,10105,,10105,,10105,Aparajita Nanda,4,African American Studies,R1A,001,A,Letter Grade,A,Fresh Composition
9,10105,,10105,,10105,Aparajita Nanda,3.7,African American Studies,R1A,001,A,Letter Grade,A-,Fresh Composition
9,10105,,10105,,10105,Aparajita Nanda,3.3,African American Studies,R1A,001,B,Letter Grade,B+,Fresh Composition
3,10105,,10105,,10105,Aparajita Nanda,3,African American Studies,R1A,001,B,Letter Grade,B,Fresh Composition
1,10105,,10105,,10105,Aparajita Nanda,2.3,African American Studies,R1A,001,C,Letter Grade,C+,Fresh Composition
5,10115,,10115,,10115,Petra Rivera,4,African American Studies,R1A,002,A,Letter Grade,A,Fresh Composition
3,10115,,10115,,10115,Petra Rivera,3.7,African American Studies,R1A,002,A,Letter Grade,A-,Fresh Composition
5,10115,,10115,,10115,Petra Rivera,3.3,African American Studies,R1A,002,B,Letter Grade,B+,Fresh Composition
3,10115,,10115,,10115,Petra Rivera,3,African American Studies,R1A,002,B,Letter Grade,B,Fresh Composition
1,10115,,10115,,10115,Petra Rivera,2.7,African American Studies,R1A,002,B,Letter Grade,B-,Fresh Composition
1,10115,,10115,,10115,Petra Rivera,1.7,African American Studies,R1A,002,C,Letter Grade,C-,Fresh Composition
6,10125,,10125,,10125,Luisa Giulianetti,3.7,African American Studies,R1AN,001,A,Letter Grade,A-,R & C Sum Bdg
1,10125,,10125,,10125,Luisa Giulianetti,3.3,African American Studies,R1AN,001,B,Letter Grade,B+,R & C Sum Bdg
6,10125,,10125,,10125,Luisa Giulianetti,3,African American Studies,R1AN,001,B,Letter Grade,B,R & C Sum Bdg
2,10125,,10125,,10125,Luisa Giulianetti,2.7,African American Studies,R1AN,001,B,Letter Grade,B-,R & C Sum Bdg
2,10130,,10130,,10130,Aparajita Nanda,4,African American Studies,R1B,001,A,Letter Grade,A+,Freshmn Composition
7,10130,,10130,,10130,Aparajita Nanda,4,African American Studies,R1B,001,A,Letter Grade,A,Freshmn Composition
6,10130,,10130,,10130,Aparajita Nanda,3.7,African American Studies,R1B,001,A,Letter Grade,A-,Freshmn Composition
5,10130,,10130,,10130,Aparajita Nanda,3.3,African American Studies,R1B,001,B,Letter Grade,B+,Freshmn Composition
1,10130,,10130,,10130,Aparajita Nanda,3,African American Studies,R1B,001,B,Letter Grade,B,Freshmn Composition
3,10130,,10130,,10130,Aparajita Nanda,2.7,African American Studies,R1B,001,B,Letter Grade,B-,Freshmn Composition
3,10130,,10130,,10130,Aparajita Nanda,2.3,African American Studies,R1B,001,C,Letter Grade,C+,Freshmn Composition
3,10130,,10130,,10130,Aparajita Nanda,2,African American Studies,R1B,001,C,Letter Grade,C,Freshmn Composition
1,10130,,10130,,10130,Aparajita Nanda,0,African American Studies,R1B,001,F,Letter Grade,F,Freshmn Composition
5,10140,,10140,,10140,Aparajita Nanda,4,African American Studies,R1B,002,A,Letter Grade,A,Freshmn Composition
6,10140,,10140,,10140,Aparajita Nanda,3.7,African American Studies,R1B,002,A,Letter Grade,A-,Freshmn Composition
5,10140,,10140,,10140,Aparajita Nanda,3.3,African American Studies,R1B,002,B,Letter Grade,B+,Freshmn Composition
4,10140,,10140,,10140,Aparajita Nanda,3,African American Studies,R1B,002,B,Letter Grade,B,Freshmn Composition
2,10140,,10140,,10140,Aparajita Nanda,2.7,African American Studies,R1B,002,B,Letter Grade,B-,Freshmn Composition
1,10140,,10140,,10140,Aparajita Nanda,1.7,African American Studies,R1B,002,C,Letter Grade,C-,Freshmn Composition
1,10140,,10140,,10140,Aparajita Nanda,0,African American Studies,R1B,002,F,Letter Grade,F,Freshmn Composition
1,10150,,10150,,10150,G. Ugo Nwokeji,4,African American Studies,4A,001,A,Letter Grade,A+,Africa:  Hist & Cul
2,10150,,10150,,10150,G. Ugo Nwokeji,4,African American Studies,4A,001,A,Letter Grade,A,Africa:  Hist & Cul
6,10150,,10150,,10150,G. Ugo Nwokeji,3.7,African American Studies,4A,001,A,Letter Grade,A-,Africa:  Hist & Cul
5,10150,,10150,,10150,G. Ugo Nwokeji,3.3,African American Studies,4A,001,B,Letter Grade,B+,Africa:  Hist & Cul
3,10150,,10150,,10150,G. Ugo Nwokeji,3,African American Studies,4A,001,B,Letter Grade,B,Africa:  Hist & Cul
1,10150,,10150,,10150,G. Ugo Nwokeji,2.7,African American Studies,4A,001,B,Letter Grade,B-,Africa:  Hist & Cul
1,10150,,10150,,10150,G. Ugo Nwokeji,2.3,African American Studies,4A,001,C,Letter Grade,C+,Africa:  Hist & Cul
1,10150,,10150,,10150,G. Ugo Nwokeji,2,African American Studies,4A,001,C,Letter Grade,C,Africa:  Hist & Cul
