Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
6,10105,,10105,,10105,Aparajita Nanda,4,African American Studies,R1A,001,A,Letter Grade,A,Fresh Composition
6,10105,,10105,,10105,Aparajita Nanda,3.7,African American Studies,R1A,001,A,Letter Grade,A-,Fresh Composition
5,10105,,10105,,10105,Aparajita Nanda,3.3,African American Studies,R1A,001,B,Letter Grade,B+,Fresh Composition
4,10105,,10105,,10105,Aparajita Nanda,3,African American Studies,R1A,001,B,Letter Grade,B,Fresh Composition
3,10105,,10105,,10105,Aparajita Nanda,2.7,African American Studies,R1A,001,B,Letter Grade,B-,Fresh Composition
1,10105,,10105,,10105,Aparajita Nanda,2.3,African American Studies,R1A,001,C,Letter Grade,C+,Fresh Composition
1,10105,,10105,,10105,Aparajita Nanda,2,African American Studies,R1A,001,C,Letter Grade,C,Fresh Composition
1,10113,,10113,,10113,Luisa Giulianetti,4,African American Studies,R1AN,001,A,Letter Grade,A,R & C Sum Bdg
4,10113,,10113,,10113,Luisa Giulianetti,3.7,African American Studies,R1AN,001,A,Letter Grade,A-,R & C Sum Bdg
5,10113,,10113,,10113,Luisa Giulianetti,3.3,African American Studies,R1AN,001,B,Letter Grade,B+,R & C Sum Bdg
3,10113,,10113,,10113,Luisa Giulianetti,3,African American Studies,R1AN,001,B,Letter Grade,B,R & C Sum Bdg
1,10113,,10113,,10113,Luisa Giulianetti,2.7,African American Studies,R1AN,001,B,Letter Grade,B-,R & C Sum Bdg
1,10115,,10115,,10115,Aparajita Nanda,4,African American Studies,R1B,001,A,Letter Grade,A+,Freshmn Composition
5,10115,,10115,,10115,Aparajita Nanda,4,African American Studies,R1B,001,A,Letter Grade,A,Freshmn Composition
8,10115,,10115,,10115,Aparajita Nanda,3.7,African American Studies,R1B,001,A,Letter Grade,A-,Freshmn Composition
4,10115,,10115,,10115,Aparajita Nanda,3.3,African American Studies,R1B,001,B,Letter Grade,B+,Freshmn Composition
3,10115,,10115,,10115,Aparajita Nanda,3,African American Studies,R1B,001,B,Letter Grade,B,Freshmn Composition
3,10115,,10115,,10115,Aparajita Nanda,2.7,African American Studies,R1B,001,B,Letter Grade,B-,Freshmn Composition
1,10115,,10115,,10115,Aparajita Nanda,2.3,African American Studies,R1B,001,C,Letter Grade,C+,Freshmn Composition
2,10115,,10115,,10115,Aparajita Nanda,2,African American Studies,R1B,001,C,Letter Grade,C,Freshmn Composition
1,10115,,10115,,10115,Aparajita Nanda,0,African American Studies,R1B,001,F,Letter Grade,F,Freshmn Composition
8,10122,,10122,,10122,Arif Gamal,4,African American Studies,4A,001,A,Letter Grade,A+,Africa:  Hist & Cul
8,10122,,10122,,10122,Arif Gamal,4,African American Studies,4A,001,A,Letter Grade,A,Africa:  Hist & Cul
9,10122,,10122,,10122,Arif Gamal,3.7,African American Studies,4A,001,A,Letter Grade,A-,Africa:  Hist & Cul
5,10122,,10122,,10122,Arif Gamal,3.3,African American Studies,4A,001,B,Letter Grade,B+,Africa:  Hist & Cul
2,10122,,10122,,10122,Arif Gamal,3,African American Studies,4A,001,B,Letter Grade,B,Africa:  Hist & Cul
2,10122,,10122,,10122,Arif Gamal,,African American Studies,4A,001,Credit,Non-Letter Grade,Pass,Africa:  Hist & Cul
11,10123,,10123,,10123,Arif Gamal,4,African American Studies,4B,001,A,Letter Grade,A+,Africa:  Hist & Cul
21,10123,,10123,,10123,Arif Gamal,4,African American Studies,4B,001,A,Letter Grade,A,Africa:  Hist & Cul
6,10123,,10123,,10123,Arif Gamal,3.7,African American Studies,4B,001,A,Letter Grade,A-,Africa:  Hist & Cul
5,10123,,10123,,10123,Arif Gamal,3.3,African American Studies,4B,001,B,Letter Grade,B+,Africa:  Hist & Cul
5,10135,,10135,,10135,Leigh Raiford,4,African American Studies,119,001,A,Letter Grade,A,Selected Topics
7,10135,,10135,,10135,Leigh Raiford,3.7,African American Studies,119,001,A,Letter Grade,A-,Selected Topics
3,10135,,10135,,10135,Leigh Raiford,3.3,African American Studies,119,001,B,Letter Grade,B+,Selected Topics
3,10135,,10135,,10135,Leigh Raiford,3,African American Studies,119,001,B,Letter Grade,B,Selected Topics
1,10135,,10135,,10135,Leigh Raiford,2.7,African American Studies,119,001,B,Letter Grade,B-,Selected Topics
2,10135,,10135,,10135,Leigh Raiford,2.3,African American Studies,119,001,C,Letter Grade,C+,Selected Topics
1,10135,,10135,,10135,Leigh Raiford,2,African American Studies,119,001,C,Letter Grade,C,Selected Topics
1,10135,,10135,,10135,Leigh Raiford,1.7,African American Studies,119,001,C,Letter Grade,C-,Selected Topics
1,10135,,10135,,10135,Leigh Raiford,1,African American Studies,119,001,D,Letter Grade,D,Selected Topics
2,10135,,10135,,10135,Leigh Raiford,,African American Studies,119,001,Credit,Non-Letter Grade,Pass,Selected Topics
1,10135,,10135,,10135,Leigh Raiford,,African American Studies,119,001,Credit,Non-Letter Grade,Satisfactory,Selected Topics
1,10135,,10135,,10135,Leigh Raiford,,African American Studies,119,001,No Credit,Non-Letter Grade,Not Pass,Selected Topics
12,10140,,10140,,10140,Charles Henry,4,African American Studies,N124,001,A,Letter Grade,A,Pol Phil M L King
23,10140,,10140,,10140,Charles Henry,3.7,African American Studies,N124,001,A,Letter Grade,A-,Pol Phil M L King
18,10140,,10140,,10140,Charles Henry,3.3,African American Studies,N124,001,B,Letter Grade,B+,Pol Phil M L King
12,10140,,10140,,10140,Charles Henry,3,African American Studies,N124,001,B,Letter Grade,B,Pol Phil M L King
5,10140,,10140,,10140,Charles Henry,2.7,African American Studies,N124,001,B,Letter Grade,B-,Pol Phil M L King
4,10140,,10140,,10140,Charles Henry,2.3,African American Studies,N124,001,C,Letter Grade,C+,Pol Phil M L King
3,10140,,10140,,10140,Charles Henry,2,African American Studies,N124,001,C,Letter Grade,C,Pol Phil M L King
2,10140,,10140,,10140,Charles Henry,1.7,African American Studies,N124,001,C,Letter Grade,C-,Pol Phil M L King
1,10140,,10140,,10140,Charles Henry,1.3,African American Studies,N124,001,D,Letter Grade,D+,Pol Phil M L King
1,10140,,10140,,10140,Charles Henry,1,African American Studies,N124,001,D,Letter Grade,D,Pol Phil M L King
12,10140,,10140,,10140,Charles Henry,0,African American Studies,N124,001,F,Letter Grade,F,Pol Phil M L King
22,10140,,10140,,10140,Charles Henry,,African American Studies,N124,001,Credit,Non-Letter Grade,Pass,Pol Phil M L King
