Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
3,57303,,57303,,57303,Amber Henson,4,Aerospace Studies,2B,001,A,Letter Grade,A+,Evolut Of Air Power
1,57303,,57303,,57303,Amber Henson,4,Aerospace Studies,2B,001,A,Letter Grade,A,Evolut Of Air Power
3,57303,,57303,,57303,Amber Henson,3.7,Aerospace Studies,2B,001,A,Letter Grade,A-,Evolut Of Air Power
4,57303,,57303,,57303,Amber Henson,3.3,Aerospace Studies,2B,001,B,Letter Grade,B+,Evolut Of Air Power
1,57303,,57303,,57303,Amber Henson,2.3,Aerospace Studies,2B,001,C,Letter Grade,C+,Evolut Of Air Power
1,57303,,57303,,57303,Amber Henson,,Aerospace Studies,2B,001,Credit,Non-Letter Grade,Pass,Evolut Of Air Power
4,57306,,57306,,57306,Amber Henson,4,Aerospace Studies,24,001,A,Letter Grade,A+,Freshman Seminars
3,57306,,57306,,57306,Amber Henson,4,Aerospace Studies,24,001,A,Letter Grade,A,Freshman Seminars
1,57306,,57306,,57306,Amber Henson,3.7,Aerospace Studies,24,001,A,Letter Grade,A-,Freshman Seminars
1,57306,,57306,,57306,Amber Henson,3.3,Aerospace Studies,24,001,B,Letter Grade,B+,Freshman Seminars
3,57306,,57306,,57306,Amber Henson,0,Aerospace Studies,24,001,F,Letter Grade,F,Freshman Seminars
26,57309,,57309,,57309,Vincent Lau,,Aerospace Studies,100,001,Credit,Non-Letter Grade,Pass,Leadership Lab
2,57309,,57309,,57309,Vincent Lau,,Aerospace Studies,100,001,No Credit,Non-Letter Grade,Not Pass,Leadership Lab
1,57312,,57312,,57312,Bradford Jensen,4,Aerospace Studies,135B,001,A,Letter Grade,A+,Air Force Studies
3,57312,,57312,,57312,Bradford Jensen,4,Aerospace Studies,135B,001,A,Letter Grade,A,Air Force Studies
2,57312,,57312,,57312,Bradford Jensen,3.7,Aerospace Studies,135B,001,A,Letter Grade,A-,Air Force Studies
3,57312,,57312,,57312,Bradford Jensen,3.3,Aerospace Studies,135B,001,B,Letter Grade,B+,Air Force Studies
1,57312,,57312,,57312,Bradford Jensen,2.7,Aerospace Studies,135B,001,B,Letter Grade,B-,Air Force Studies
4,00503,,00503,,00503,Donnett Flash,3.7,African American Studies,R1A,001,A,Letter Grade,A-,Fresh Composition
3,00503,,00503,,00503,Donnett Flash,3.3,African American Studies,R1A,001,B,Letter Grade,B+,Fresh Composition
10,00503,,00503,,00503,Donnett Flash,3,African American Studies,R1A,001,B,Letter Grade,B,Fresh Composition
5,00503,,00503,,00503,Donnett Flash,2.7,African American Studies,R1A,001,B,Letter Grade,B-,Fresh Composition
1,00503,,00503,,00503,Donnett Flash,2.3,African American Studies,R1A,001,C,Letter Grade,C+,Fresh Composition
3,00506,,00506,,00506,Aparajita Nanda,4,African American Studies,R1B,001,A,Letter Grade,A+,Freshmn Composition
10,00506,,00506,,00506,Aparajita Nanda,4,African American Studies,R1B,001,A,Letter Grade,A,Freshmn Composition
5,00506,,00506,,00506,Aparajita Nanda,3.7,African American Studies,R1B,001,A,Letter Grade,A-,Freshmn Composition
6,00506,,00506,,00506,Aparajita Nanda,3.3,African American Studies,R1B,001,B,Letter Grade,B+,Freshmn Composition
3,00506,,00506,,00506,Aparajita Nanda,3,African American Studies,R1B,001,B,Letter Grade,B,Freshmn Composition
3,00506,,00506,,00506,Aparajita Nanda,2.7,African American Studies,R1B,001,B,Letter Grade,B-,Freshmn Composition
1,00506,,00506,,00506,Aparajita Nanda,2.3,African American Studies,R1B,001,C,Letter Grade,C+,Freshmn Composition
2,00506,,00506,,00506,Aparajita Nanda,2,African American Studies,R1B,001,C,Letter Grade,C,Freshmn Composition
2,00509,,00509,,00509,Aparajita Nanda,4,African American Studies,R1B,002,A,Letter Grade,A+,Freshmn Composition
