Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
2,57303,,57303,,57303,Kathryn Parker,4,Aerospace Studies,1B,001,A,Letter Grade,A,Found Us Air Force
5,57303,,57303,,57303,Kathryn Parker,3.7,Aerospace Studies,1B,001,A,Letter Grade,A-,Found Us Air Force
3,57303,,57303,,57303,Kathryn Parker,3.3,Aerospace Studies,1B,001,B,Letter Grade,B+,Found Us Air Force
1,57303,,57303,,57303,Kathryn Parker,3,Aerospace Studies,1B,001,B,Letter Grade,B,Found Us Air Force
1,57303,,57303,,57303,Kathryn Parker,2.7,Aerospace Studies,1B,001,B,Letter Grade,B-,Found Us Air Force
3,57303,,57303,,57303,Kathryn Parker,2.3,Aerospace Studies,1B,001,C,Letter Grade,C+,Found Us Air Force
3,57303,,57303,,57303,Kathryn Parker,2,Aerospace Studies,1B,001,C,Letter Grade,C,Found Us Air Force
2,57303,,57303,,57303,Kathryn Parker,0,Aerospace Studies,1B,001,F,Letter Grade,F,Found Us Air Force
1,57303,,57303,,57303,Kathryn Parker,,Aerospace Studies,1B,001,No Credit,Non-Letter Grade,Not Pass,Found Us Air Force
4,57306,,57306,,57306,Kathryn Parker,4,Aerospace Studies,2B,001,A,Letter Grade,A+,Evolut Of Air Power
2,57306,,57306,,57306,Kathryn Parker,4,Aerospace Studies,2B,001,A,Letter Grade,A,Evolut Of Air Power
4,57306,,57306,,57306,Kathryn Parker,3.7,Aerospace Studies,2B,001,A,Letter Grade,A-,Evolut Of Air Power
2,57306,,57306,,57306,Kathryn Parker,3.3,Aerospace Studies,2B,001,B,Letter Grade,B+,Evolut Of Air Power
1,57306,,57306,,57306,Kathryn Parker,2.3,Aerospace Studies,2B,001,C,Letter Grade,C+,Evolut Of Air Power
1,57306,,57306,,57306,Kathryn Parker,1.3,Aerospace Studies,2B,001,D,Letter Grade,D+,Evolut Of Air Power
1,57306,,57306,,57306,Kathryn Parker,0,Aerospace Studies,2B,001,F,Letter Grade,F,Evolut Of Air Power
1,57306,,57306,,57306,Kathryn Parker,,Aerospace Studies,2B,001,Credit,Non-Letter Grade,Pass,Evolut Of Air Power
1,57306,,57306,,57306,Kathryn Parker,,Aerospace Studies,2B,001,No Credit,Non-Letter Grade,Not Pass,Evolut Of Air Power
30,57309,,57309,,57309,Charles Rice,,Aerospace Studies,100,001,Credit,Non-Letter Grade,Pass,Leadership Lab
1,57309,,57309,,57309,Charles Rice,,Aerospace Studies,100,001,Credit,Non-Letter Grade,Satisfactory,Leadership Lab
3,57309,,57309,,57309,Charles Rice,,Aerospace Studies,100,001,No Credit,Non-Letter Grade,Not Pass,Leadership Lab
5,57312,,57312,,57312,Charles Rice,4,Aerospace Studies,135B,001,A,Letter Grade,A+,Air Force Studies
1,57312,,57312,,57312,Charles Rice,4,Aerospace Studies,135B,001,A,Letter Grade,A,Air Force Studies
1,57312,,57312,,57312,Charles Rice,3.7,Aerospace Studies,135B,001,A,Letter Grade,A-,Air Force Studies
3,00503,,00503,,00503,Aparajita Nanda,4,African American Studies,R1A,001,A,Letter Grade,A,Fresh Composition
4,00503,,00503,,00503,Aparajita Nanda,3.7,African American Studies,R1A,001,A,Letter Grade,A-,Fresh Composition
5,00503,,00503,,00503,Aparajita Nanda,3.3,African American Studies,R1A,001,B,Letter Grade,B+,Fresh Composition
3,00503,,00503,,00503,Aparajita Nanda,3,African American Studies,R1A,001,B,Letter Grade,B,Fresh Composition
2,00503,,00503,,00503,Aparajita Nanda,2.7,African American Studies,R1A,001,B,Letter Grade,B-,Fresh Composition
1,00503,,00503,,00503,Aparajita Nanda,0,African American Studies,R1A,001,F,Letter Grade,F,Fresh Composition
1,00509,,00509,,00509,Aparajita Nanda,4,African American Studies,R1B,001,A,Letter Grade,A+,Freshmn Composition
2,00509,,00509,,00509,Aparajita Nanda,4,African American Studies,R1B,001,A,Letter Grade,A,Freshmn Composition
2,00509,,00509,,00509,Aparajita Nanda,3.7,African American Studies,R1B,001,A,Letter Grade,A-,Freshmn Composition
4,00509,,00509,,00509,Aparajita Nanda,3.3,African American Studies,R1B,001,B,Letter Grade,B+,Freshmn Composition
3,00509,,00509,,00509,Aparajita Nanda,3,African American Studies,R1B,001,B,Letter Grade,B,Freshmn Composition
1,00509,,00509,,00509,Aparajita Nanda,2.7,African American Studies,R1B,001,B,Letter Grade,B-,Freshmn Composition
3,00509,,00509,,00509,Aparajita Nanda,2,African American Studies,R1B,001,C,Letter Grade,C,Freshmn Composition
1,00509,,00509,,00509,Aparajita Nanda,0,African American Studies,R1B,001,F,Letter Grade,F,Freshmn Composition
10,00515,,00515,,00515,G. Ugo Nwokeji,4,African American Studies,4B,001,A,Letter Grade,A,Africa:  Hist & Cul
23,00515,,00515,,00515,G. Ugo Nwokeji,3.7,African American Studies,4B,001,A,Letter Grade,A-,Africa:  Hist & Cul
10,00515,,00515,,00515,G. Ugo Nwokeji,3.3,African American Studies,4B,001,B,Letter Grade,B+,Africa:  Hist & Cul
7,00515,,00515,,00515,G. Ugo Nwokeji,3,African American Studies,4B,001,B,Letter Grade,B,Africa:  Hist & Cul
1,00515,,00515,,00515,G. Ugo Nwokeji,2.7,African American Studies,4B,001,B,Letter Grade,B-,Africa:  Hist & Cul
2,00515,,00515,,00515,G. Ugo Nwokeji,2.3,African American Studies,4B,001,C,Letter Grade,C+,Africa:  Hist & Cul
1,00515,,00515,,00515,G. Ugo Nwokeji,1.7,African American Studies,4B,001,C,Letter Grade,C-,Africa:  Hist & Cul
1,00515,,00515,,00515,G. Ugo Nwokeji,1.3,African American Studies,4B,001,D,Letter Grade,D+,Africa:  Hist & Cul
1,00515,,00515,,00515,G. Ugo Nwokeji,0,African American Studies,4B,001,F,Letter Grade,F,Africa:  Hist & Cul
9,00515,,00515,,00515,G. Ugo Nwokeji,,African American Studies,4B,001,Credit,Non-Letter Grade,Pass,Africa:  Hist & Cul
7,00527,,00527,,00527,Robert Allen,4,African American Studies,5B,001,A,Letter Grade,A+,Afam Life & Cul U S
5,00527,,00527,,00527,Robert Allen,4,African American Studies,5B,001,A,Letter Grade,A,Afam Life & Cul U S
7,00527,,00527,,00527,Robert Allen,3.7,African American Studies,5B,001,A,Letter Grade,A-,Afam Life & Cul U S
4,00527,,00527,,00527,Robert Allen,3.3,African American Studies,5B,001,B,Letter Grade,B+,Afam Life & Cul U S
9,00527,,00527,,00527,Robert Allen,3,African American Studies,5B,001,B,Letter Grade,B,Afam Life & Cul U S
6,00527,,00527,,00527,Robert Allen,2.7,African American Studies,5B,001,B,Letter Grade,B-,Afam Life & Cul U S
5,00527,,00527,,00527,Robert Allen,2.3,African American Studies,5B,001,C,Letter Grade,C+,Afam Life & Cul U S
7,00527,,00527,,00527,Robert Allen,2,African American Studies,5B,001,C,Letter Grade,C,Afam Life & Cul U S
3,00527,,00527,,00527,Robert Allen,1.7,African American Studies,5B,001,C,Letter Grade,C-,Afam Life & Cul U S
2,00527,,00527,,00527,Robert Allen,0,African American Studies,5B,001,F,Letter Grade,F,Afam Life & Cul U S
4,00527,,00527,,00527,Robert Allen,,African American Studies,5B,001,Credit,Non-Letter Grade,Pass,Afam Life & Cul U S
1,00527,,00527,,00527,Robert Allen,,African American Studies,5B,001,No Credit,Non-Letter Grade,Not Pass,Afam Life & Cul U S
1,00539,,00539,,00539,Alassane Sow,4,African American Studies,7B,001,A,Letter Grade,A,Elementary Wolof
1,00539,,00539,,00539,Alassane Sow,,African American Studies,7B,001,Credit,Non-Letter Grade,Satisfactory,Elementary Wolof
1,00542,,00542,,00542,Alassane Sow,4,African American Studies,8B,001,A,Letter Grade,A+,Intermediate Wolof
2,00545,,00545,,00545,Joseph Omwamba,4,African American Studies,10B,001,A,Letter Grade,A,Intermed Swahili
1,00545,,00545,,00545,Joseph Omwamba,3,African American Studies,10B,001,B,Letter Grade,B,Intermed Swahili
1,00545,,00545,,00545,Joseph Omwamba,2.3,African American Studies,10B,001,C,Letter Grade,C+,Intermed Swahili
3,00548,,00548,,00548,Sam Mchombo,4,African American Studies,11B,001,A,Letter Grade,A+,Elementary Swahili
7,00548,,00548,,00548,Sam Mchombo,4,African American Studies,11B,001,A,Letter Grade,A,Elementary Swahili
5,00548,,00548,,00548,Sam Mchombo,3.7,African American Studies,11B,001,A,Letter Grade,A-,Elementary Swahili
1,00548,,00548,,00548,Sam Mchombo,3.3,African American Studies,11B,001,B,Letter Grade,B+,Elementary Swahili
1,00548,,00548,,00548,Sam Mchombo,3,African American Studies,11B,001,B,Letter Grade,B,Elementary Swahili
2,00548,,00548,,00548,Sam Mchombo,2.7,African American Studies,11B,001,B,Letter Grade,B-,Elementary Swahili
1,00548,,00548,,00548,Sam Mchombo,,African American Studies,11B,001,Credit,Non-Letter Grade,Pass,Elementary Swahili
1,00551,,00551,,00551,Sam Mchombo,4,African American Studies,11B,002,A,Letter Grade,A+,Elementary Swahili
5,00551,,00551,,00551,Sam Mchombo,4,African American Studies,11B,002,A,Letter Grade,A,Elementary Swahili
7,00551,,00551,,00551,Sam Mchombo,3.7,African American Studies,11B,002,A,Letter Grade,A-,Elementary Swahili
4,00551,,00551,,00551,Sam Mchombo,3.3,African American Studies,11B,002,B,Letter Grade,B+,Elementary Swahili
1,00551,,00551,,00551,Sam Mchombo,3,African American Studies,11B,002,B,Letter Grade,B,Elementary Swahili
1,00551,,00551,,00551,Sam Mchombo,2.7,African American Studies,11B,002,B,Letter Grade,B-,Elementary Swahili
1,00551,,00551,,00551,Sam Mchombo,2.3,African American Studies,11B,002,C,Letter Grade,C+,Elementary Swahili
2,00554,,00554,,00554,Galen Sibanda,4,African American Studies,13B,001,A,Letter Grade,A,Elementary Zulu
1,00557,,00557,,00557,Joseph Omwamba,4,African American Studies,15B,001,A,Letter Grade,A+,Advanced Swahili
3,00557,,00557,,00557,Joseph Omwamba,4,African American Studies,15B,001,A,Letter Grade,A,Advanced Swahili
17,00559,,00559,,00559,Sam Mchombo,,African American Studies,24,001,Credit,Non-Letter Grade,Pass,Freshman Seminars
3,00563,,00563,,00563,Sam Mchombo,4,African American Studies,31B,001,A,Letter Grade,A,Intermed Chichewa
9,00565,,00565,,00565,Leigh Raiford,4,African American Studies,39G,001,A,Letter Grade,A,Fresh/Soph Seminar
2,00565,,00565,,00565,Leigh Raiford,3.7,African American Studies,39G,001,A,Letter Grade,A-,Fresh/Soph Seminar
1,00565,,00565,,00565,Leigh Raiford,3,African American Studies,39G,001,B,Letter Grade,B,Fresh/Soph Seminar
1,00565,,00565,,00565,Leigh Raiford,,African American Studies,39G,001,No Credit,Non-Letter Grade,Not Pass,Fresh/Soph Seminar
7,00566,,00566,,00566,Charles Henry,,African American Studies,98,001,Credit,Non-Letter Grade,Pass,Directed Group Stdy
1,00566,,00566,,00566,Charles Henry,,African American Studies,98,001,No Credit,Non-Letter Grade,Not Pass,Directed Group Stdy
6,00569,,00569,,00569,Charles Henry,,African American Studies,98,002,Credit,Non-Letter Grade,Pass,Directed Group Stdy
10,00575,,00575,,00575,Leigh Raiford; Terry Allen,,African American Studies,98,007,Credit,Non-Letter Grade,Pass,Directed Group Stdy
8,00587,,00587,,00587,Brandi Catanese; Rahul Patel,,African American Studies,98,010,Credit,Non-Letter Grade,Pass,Directed Group Stdy
8,00590,,00590,,00590,Robert Allen,,African American Studies,98,011,Credit,Non-Letter Grade,Pass,Directed Group Stdy
2,00605,,00605,,00605,Charles Henry,4,African American Studies,107,001,A,Letter Grade,A+,Race And Pub Policy
6,00605,,00605,,00605,Charles Henry,4,African American Studies,107,001,A,Letter Grade,A,Race And Pub Policy
