Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
3,10170,,10170,,10170,Stephen Small,3,African American Studies,W111,001,B,Letter Grade,B,"Race, Class & Gen"
6,10170,,10170,,10170,Stephen Small,2.7,African American Studies,W111,001,B,Letter Grade,B-,"Race, Class & Gen"
6,10170,,10170,,10170,Stephen Small,2.3,African American Studies,W111,001,C,Letter Grade,C+,"Race, Class & Gen"
5,10170,,10170,,10170,Stephen Small,2,African American Studies,W111,001,C,Letter Grade,C,"Race, Class & Gen"
2,10170,,10170,,10170,Stephen Small,1.7,African American Studies,W111,001,C,Letter Grade,C-,"Race, Class & Gen"
1,10170,,10170,,10170,Stephen Small,1.3,African American Studies,W111,001,D,Letter Grade,D+,"Race, Class & Gen"
3,10170,,10170,,10170,Stephen Small,0,African American Studies,W111,001,F,Letter Grade,F,"Race, Class & Gen"
24,10170,,10170,,10170,Stephen Small,,African American Studies,W111,001,Credit,Non-Letter Grade,Pass,"Race, Class & Gen"
1,10170,,10170,,10170,Stephen Small,,African American Studies,W111,001,Credit,Non-Letter Grade,Satisfactory,"Race, Class & Gen"
12,10170,,10170,,10170,Stephen Small,,African American Studies,W111,001,No Credit,Non-Letter Grade,Not Pass,"Race, Class & Gen"
3,10180,,10180,,10180,Charles Henry,4,African American Studies,W124,001,A,Letter Grade,A,Pol Phil M L King
6,10180,,10180,,10180,Charles Henry,3.7,African American Studies,W124,001,A,Letter Grade,A-,Pol Phil M L King
3,10180,,10180,,10180,Charles Henry,3.3,African American Studies,W124,001,B,Letter Grade,B+,Pol Phil M L King
3,10180,,10180,,10180,Charles Henry,3,African American Studies,W124,001,B,Letter Grade,B,Pol Phil M L King
1,10180,,10180,,10180,Charles Henry,2.7,African American Studies,W124,001,B,Letter Grade,B-,Pol Phil M L King
4,10180,,10180,,10180,Charles Henry,2.3,African American Studies,W124,001,C,Letter Grade,C+,Pol Phil M L King
1,10180,,10180,,10180,Charles Henry,1.7,African American Studies,W124,001,C,Letter Grade,C-,Pol Phil M L King
2,10180,,10180,,10180,Charles Henry,1.3,African American Studies,W124,001,D,Letter Grade,D+,Pol Phil M L King
4,10180,,10180,,10180,Charles Henry,0,African American Studies,W124,001,F,Letter Grade,F,Pol Phil M L King
16,10180,,10180,,10180,Charles Henry,,African American Studies,W124,001,Credit,Non-Letter Grade,Pass,Pol Phil M L King
10,10180,,10180,,10180,Charles Henry,,African American Studies,W124,001,No Credit,Non-Letter Grade,Not Pass,Pol Phil M L King
1,10185,,10185,,10185,Jarvis Givens; Nailah Suad-Bakari,4,African American Studies,139,001,A,Letter Grade,A,Sel Top:Africam Soc
5,10185,,10185,,10185,Jarvis Givens; Nailah Suad-Bakari,3.7,African American Studies,139,001,A,Letter Grade,A-,Sel Top:Africam Soc
2,10185,,10185,,10185,Jarvis Givens; Nailah Suad-Bakari,3,African American Studies,139,001,B,Letter Grade,B,Sel Top:Africam Soc
1,10185,,10185,,10185,Jarvis Givens; Nailah Suad-Bakari,2.7,African American Studies,139,001,B,Letter Grade,B-,Sel Top:Africam Soc
1,10185,,10185,,10185,Jarvis Givens; Nailah Suad-Bakari,0,African American Studies,139,001,F,Letter Grade,F,Sel Top:Africam Soc
1,10185,,10185,,10185,Jarvis Givens; Nailah Suad-Bakari,,African American Studies,139,001,Credit,Non-Letter Grade,Pass,Sel Top:Africam Soc
3,10185,,10185,,10185,Jarvis Givens; Nailah Suad-Bakari,,African American Studies,139,001,Credit,Non-Letter Grade,Satisfactory,Sel Top:Africam Soc
1,10190,,10190,,10190,Frederick Vincent,4,African American Studies,159,001,A,Letter Grade,A+,Spec Top Afam Lit
8,10190,,10190,,10190,Frederick Vincent,4,African American Studies,159,001,A,Letter Grade,A,Spec Top Afam Lit
3,10190,,10190,,10190,Frederick Vincent,3.7,African American Studies,159,001,A,Letter Grade,A-,Spec Top Afam Lit
2,10190,,10190,,10190,Frederick Vincent,3.3,African American Studies,159,001,B,Letter Grade,B+,Spec Top Afam Lit
3,10190,,10190,,10190,Frederick Vincent,,African American Studies,159,001,Credit,Non-Letter Grade,Pass,Spec Top Afam Lit
1,10235,,10235,,10235,Brandi Catanese,,African American Studies,199,003,Credit,Non-Letter Grade,Pass,Superv Indep Study
1,10265,,10265,,10265,Leigh Raiford,4,African American Studies,299,001,A,Letter Grade,A,Ind Stdy/Res
2,10265,,10265,,10265,Leigh Raiford,,African American Studies,299,001,Credit,Non-Letter Grade,Satisfactory,Ind Stdy/Res
3,11010,,11010,,11010,Peter Berck,,Ag & Resource Econ & Pol,N299,001,Credit,Non-Letter Grade,Satisfactory,Individual Research
3,11505,,11505,,11505,Justin Gomer,4,American Studies,102,001,A,Letter Grade,A+,Us Cultures/Place
2,11505,,11505,,11505,Justin Gomer,4,American Studies,102,001,A,Letter Grade,A,Us Cultures/Place
9,11505,,11505,,11505,Justin Gomer,3.7,American Studies,102,001,A,Letter Grade,A-,Us Cultures/Place
4,11505,,11505,,11505,Justin Gomer,3.3,American Studies,102,001,B,Letter Grade,B+,Us Cultures/Place
1,11505,,11505,,11505,Justin Gomer,3,American Studies,102,001,B,Letter Grade,B,Us Cultures/Place
1,11505,,11505,,11505,Justin Gomer,2.7,American Studies,102,001,B,Letter Grade,B-,Us Cultures/Place
3,11505,,11505,,11505,Justin Gomer,2,American Studies,102,001,C,Letter Grade,C,Us Cultures/Place
1,11505,,11505,,11505,Justin Gomer,1.7,American Studies,102,001,C,Letter Grade,C-,Us Cultures/Place
1,11505,,11505,,11505,Justin Gomer,,American Studies,102,001,No Credit,Non-Letter Grade,Not Pass,Us Cultures/Place
3,11510,,11510,,11510,Beth Piatote; Leigh Raiford; Michael Cohen,4,American Studies,170AC,001,A,Letter Grade,A,Race And Ethnicity
3,11510,,11510,,11510,Beth Piatote; Leigh Raiford; Michael Cohen,3.7,American Studies,170AC,001,A,Letter Grade,A-,Race And Ethnicity
3,11510,,11510,,11510,Beth Piatote; Leigh Raiford; Michael Cohen,3.3,American Studies,170AC,001,B,Letter Grade,B+,Race And Ethnicity
1,11510,,11510,,11510,Beth Piatote; Leigh Raiford; Michael Cohen,3,American Studies,170AC,001,B,Letter Grade,B,Race And Ethnicity
1,11510,,11510,,11510,Beth Piatote; Leigh Raiford; Michael Cohen,2.7,American Studies,170AC,001,B,Letter Grade,B-,Race And Ethnicity
3,11510,,11510,,11510,Beth Piatote; Leigh Raiford; Michael Cohen,,American Studies,170AC,001,Credit,Non-Letter Grade,Pass,Race And Ethnicity
1,11510,,11510,,11510,Beth Piatote; Leigh Raiford; Michael Cohen,,American Studies,170AC,001,No Credit,Non-Letter Grade,Not Pass,Race And Ethnicity
6,11520,,11520,,11520,Beth Piatote,4,American Studies,180D,001,A,Letter Grade,A,Race And Humor
2,11520,,11520,,11520,Beth Piatote,3.7,American Studies,180D,001,A,Letter Grade,A-,Race And Humor
2,11520,,11520,,11520,Beth Piatote,3.3,American Studies,180D,001,B,Letter Grade,B+,Race And Humor
